0	93
20	71
40	53
60	37
80	36
100	48
120	60
140	74
160	87
180	100
200	110
220	119
240	125
260	126
280	126
300	122
320	115
340	106
360	96
380	84
400	72
420	61
440	51
460	42
480	37
500	33
520	33
540	37
560	41
580	49
600	58
#620	NA
640	78
660	86
680	93
700	100
720	104
740	105
760	103
780	101
800	95
820	88
840	78
860	69
880	61
900	52
920	45
940	39
960	36
980	33
1000	34
1020	36
1040	40
1060	49
1080	53
1100	61
1120	70
1140	76
1160	83
1180	88
1200	93
1220	95
1240	97
1260	96
1280	94
1300	89
1320	84
1340	78
1360	60
1380	62
1400	57
1420	51
1440	47
1460	44
1480	42
1500	43
1520	45
1540	48
1560	52
1580	58
1600	63
1620	69
1640	76
1660	82
1680	85
1700	91
1720	92
1740	91
1760	90
1780	88
1800	85
1820	80
1840	75
1860	70
1880	64
1900	60
1920	56
1940	52
1960	50
1980	49
2000	49
2020	51
2040	53
2060	57
2080	61
2100	66
2120	72
2140	75
2160	79
2180	83
2200	85
2220	87
2240	87
2260	86
2280	84
2300	82
#2320	NA
#2340	NA
2360	68
2380	61
2400	57
2420	54
2440	56
2460	58
2480	63
2500	70
2520	76
2540	82
2560	87
2580	92
2600	98
2620	99
2640	102
2660	103
2680	102
2700	100
2720	95
2740	90
2760	84
2780	78
2800	73
2820	69
2840	66
2860	64
2880	63
2900	63
2920	64
2940	65
2960	68
2980	72
3000	76
3020	80
3040	86
3060	90
3080	94
3100	97
3120	100
3140	99
3160	98
3180	96
3200	94
3220	91
3240	88
3260	84
3280	80
3300	76
3320	73
3340	69
3360	67
3380	66
3400	66
3420	67
3440	70
3460	72
3480	75
3500	79
3520	82
3540	86
3560	89
3580	92
3600	94
3620	95
3640	96
3660	95
3680	94
3700	92
3720	86
3740	83
3760	80
3780	76
3800	74
3820	72
3840	71
3860	70
3880	70
