#Linear Position. Run #17
#Time ( s )	Linear Position ( m )
0.0000	-0.187
0.0250	-0.449
0.0500	-0.860
0.0750	-1.346
0.1000	-1.832
0.1250	-2.318
0.1500	-2.729
0.1750	-2.991
0.2000	-3.103
0.2250	-3.028
0.2500	-2.804
0.2750	-2.467
0.3000	-2.056
0.3250	-1.570
0.3500	-1.084
0.3750	-0.673
0.4000	-0.299
0.4250	-0.075
0.4500	-0.037
0.4750	-0.187
0.5000	-0.486
0.5250	-0.897
0.5500	-1.383
0.5750	-1.907
0.6000	-2.393
0.6250	-2.766
0.6500	-3.028
0.6750	-3.103
0.7000	-3.028
0.7250	-2.804
0.7500	-2.467
0.7750	-2.056
0.8000	-1.608
0.8250	-1.122
0.8500	-0.673
0.8750	-0.336
0.9000	-0.112
0.9250	-0.075
0.9500	-0.224
0.9750	-0.486
1.0000	-0.897
1.0250	-1.383
1.0500	-1.907
1.0750	-2.393
1.1000	-2.766
1.1250	-3.028
1.1500	-3.103
1.1750	-3.028
1.2000	-2.766
1.2250	-2.430
1.2500	-2.019
1.2750	-1.533
1.3000	-1.047
1.3250	-0.598
1.3500	-0.262
1.3750	-0.075
1.4000	-0.037
1.4250	-0.187
1.4500	-0.486
1.4750	-0.897
1.5000	-1.421
1.5250	-1.944
1.5500	-2.430
1.5750	-2.804
1.6000	-3.066
1.6250	-3.140
1.6500	-3.028
1.6750	-2.766
1.7000	-2.430
1.7250	-1.981
1.7500	-1.495
1.7750	-1.047
1.8000	-0.598
1.8250	-0.299
1.8500	-0.112
1.8750	-0.112
1.9000	-0.262
1.9250	-0.561
1.9500	-0.972
1.9750	-1.458
2.0000	-1.981
2.0250	-2.430
2.0500	-2.804
2.0750	-3.028
2.1000	-3.103
2.1250	-2.991
2.1500	-2.766
2.1750	-2.430
2.2000	-1.981
2.2250	-1.495
2.2500	-1.009
2.2750	-0.561
2.3000	-0.224
2.3250	-0.037
2.3500	-0.037
2.3750	-0.224
2.4000	-0.523
2.4250	-0.935
2.4500	-1.458
2.4750	-1.981
2.5000	-2.467
2.5250	-2.841
2.5500	-3.066
2.5750	-3.140
2.6000	-2.991
2.6250	-2.766
2.6500	-2.393
2.6750	-1.944
2.7000	-1.458
2.7250	-0.972
2.7500	-0.561
2.7750	-0.262
2.8000	-0.075
2.8250	-0.075
2.8500	-0.299
2.8750	-0.598
2.9000	-1.047
2.9250	-1.533
2.9500	-2.019
2.9750	-2.505
3.0000	-2.879
3.0250	-3.066
3.0500	-3.103
3.0750	-2.991
3.1000	-2.729
3.1250	-2.355
3.1500	-1.944
3.1750	-1.458
3.2000	-0.972
3.2250	-0.523
3.2500	-0.224
3.2750	-0.075
3.3000	-0.075
3.3250	-0.262
3.3500	-0.598
3.3750	-1.009
3.4000	-1.495
