#Angular Position. Run #6
#Time ( s )	Angular Position ( rad )
8.6750	0.024
8.7000	0.024
8.7250	0.024
8.7500	0.024
8.7750	0.024
8.8000	0.024
8.8250	0.024
8.8500	0.024
8.8750	0.024
8.9000	0.024
8.9250	0.024
8.9500	0.024
8.9750	0.024
9.0000	0.024
9.0250	0.024
9.0500	0.024
9.0750	0.024
9.1000	0.024
9.1250	0.024
9.1500	0.024
9.1750	0.024
9.2000	0.024
9.2250	0.024
9.2500	0.024
9.2750	0.024
9.3000	0.024
9.3250	0.024
9.3500	0.024
9.3750	0.024
9.4000	0.024
9.4250	0.024
9.4500	0.024
9.4750	0.024
9.5000	0.024
9.5250	0.024
9.5500	0.024
9.5750	0.024
9.6000	0.024
9.6250	0.024
9.6500	0.024
9.6750	0.024
9.7000	0.024
9.7250	0.024
9.7500	0.024
9.7750	0.024
9.8000	0.024
9.8250	0.024
9.8500	0.024
9.8750	0.024
9.9000	0.024
9.9250	0.024
9.9500	0.024
9.9750	0.024
10.0000	0.024
10.0250	0.024
10.0500	0.024
10.0750	0.024
10.1000	0.024
10.1250	0.024
10.1500	0.024
10.1750	0.024
10.2000	0.024
