#Angular Position. Run #5
#Time ( s )	Angular Position ( rad )
8.3250	-1.285
8.3500	-1.291
8.3750	-1.288
8.4000	-1.271
8.4250	-1.244
8.4500	-1.206
8.4750	-1.158
8.5000	-1.101
8.5250	-1.034
8.5500	-0.957
8.5750	-0.873
8.6000	-0.781
8.6250	-0.683
8.6500	-0.578
8.6750	-0.470
8.7000	-0.357
8.7250	-0.240
8.7500	-0.123
8.7750	-0.003
8.8000	0.115
8.8250	0.232
8.8500	0.349
8.8750	0.462
8.9000	0.572
8.9250	0.675
8.9500	0.773
8.9750	0.866
9.0000	0.950
9.0250	1.027
9.0500	1.095
9.0750	1.155
9.1000	1.203
9.1250	1.243
9.1500	1.271
9.1750	1.288
9.2000	1.296
9.2250	1.293
9.2500	1.279
9.2750	1.253
9.3000	1.219
9.3250	1.173
9.3500	1.120
9.3750	1.057
9.4000	0.985
9.4250	0.905
9.4500	0.818
9.4750	0.727
9.5000	0.628
9.5250	0.525
9.5500	0.418
9.5750	0.308
9.6000	0.195
9.6250	0.082
9.6500	-0.031
9.6750	-0.145
9.7000	-0.256
9.7250	-0.364
9.7500	-0.470
9.7750	-0.572
9.8000	-0.666
9.8250	-0.756
9.8500	-0.839
9.8750	-0.914
9.9000	-0.982
9.9250	-1.040
9.9500	-1.089
9.9750	-1.129
10.0000	-1.161
10.0250	-1.180
10.0500	-1.189
10.0750	-1.189
10.1000	-1.180
10.1250	-1.158
10.1500	-1.126
10.1750	-1.087
10.2000	-1.037
10.2250	-0.977
10.2500	-0.911
10.2750	-0.836
10.3000	-0.754
10.3250	-0.664
10.3500	-0.570
10.3750	-0.471
10.4000	-0.369
10.4250	-0.262
10.4500	-0.154
10.4750	-0.044
10.5000	0.066
10.5250	0.174
10.5500	0.283
10.5750	0.388
10.6000	0.490
10.6250	0.587
10.6500	0.680
10.6750	0.767
10.7000	0.848
10.7250	0.920
10.7500	0.986
10.7750	1.045
10.8000	1.093
10.8250	1.133
10.8500	1.162
10.8750	1.183
10.9000	1.194
10.9250	1.194
10.9500	1.186
10.9750	1.166
11.0000	1.137
11.0250	1.100
11.0500	1.052
11.0750	0.997
11.1000	0.935
11.1250	0.866
11.1500	0.787
11.1750	0.704
11.2000	0.616
11.2250	0.523
11.2500	0.427
11.2750	0.327
11.3000	0.225
11.3250	0.119
11.3500	0.016
11.3750	-0.088
11.4000	-0.190
11.4250	-0.291
11.4500	-0.390
11.4750	-0.484
11.5000	-0.573
11.5250	-0.658
11.5500	-0.737
11.5750	-0.809
11.6000	-0.873
11.6250	-0.931
11.6500	-0.980
11.6750	-1.019
11.7000	-1.051
11.7250	-1.074
11.7500	-1.087
11.7750	-1.090
11.8000	-1.085
11.8250	-1.070
11.8500	-1.046
11.8750	-1.012
11.9000	-0.969
11.9250	-0.919
11.9500	-0.861
11.9750	-0.795
12.0000	-0.723
12.0250	-0.642
12.0500	-0.559
12.0750	-0.471
12.1000	-0.377
12.1250	-0.281
12.1500	-0.182
12.1750	-0.082
12.2000	0.019
12.2250	0.119
12.2500	0.218
12.2750	0.316
12.3000	0.410
12.3250	0.503
12.3500	0.589
12.3750	0.671
12.4000	0.748
12.4250	0.817
12.4500	0.881
12.4750	0.936
12.5000	0.985
12.5250	1.024
12.5500	1.056
12.5750	1.079
12.6000	1.092
12.6250	1.096
12.6500	1.092
12.6750	1.078
12.7000	1.056
