#Linear Position. Run #18
#Time ( s )	Linear Position ( m )
8.2750	5.383
8.3000	6.916
8.3250	6.655
8.3500	4.636
8.3750	1.271
8.4000	-2.729
8.4250	-6.505
8.4500	-9.309
8.4750	-10.468
8.5000	-9.757
8.5250	-7.365
8.5500	-3.776
8.5750	0.262
8.6000	3.888
8.6250	6.355
8.6500	7.141
8.6750	6.056
8.7000	3.327
8.7250	-0.411
8.7500	-4.449
8.7750	-7.926
8.8000	-10.019
8.8250	-10.318
8.8500	-8.823
8.8750	-5.832
8.9000	-1.981
8.9250	1.944
8.9500	5.122
8.9750	6.841
9.0000	6.767
9.0250	4.935
9.0500	1.682
9.0750	-2.243
9.1000	-6.131
9.1250	-9.047
9.1500	-10.430
9.1750	-9.944
9.2000	-7.701
9.2250	-4.225
9.2500	-0.187
9.2750	3.514
9.3000	6.169
9.3250	7.141
9.3500	6.281
9.3750	3.739
9.4000	0.075
9.4250	-3.963
9.4500	-7.514
9.4750	-9.795
9.5000	-10.356
9.5250	-9.047
9.5500	-6.243
9.5750	-2.467
9.6000	1.458
9.6250	4.711
9.6500	6.655
9.6750	6.841
9.7000	5.234
9.7250	2.168
9.7500	-1.720
9.7750	-5.608
9.8000	-8.673
9.8250	-10.281
9.8500	-10.057
9.8750	-8.038
9.9000	-4.711
9.9250	-0.748
9.9500	3.028
9.9750	5.832
10.0000	7.066
10.0250	6.430
10.0500	4.150
10.0750	0.636
10.1000	-3.365
10.1250	-7.028
10.1500	-9.496
10.1750	-10.318
10.2000	-9.271
10.2250	-6.692
10.2500	-3.066
10.2750	0.860
10.3000	4.225
10.3250	6.393
10.3500	6.841
10.3750	5.496
10.4000	2.654
10.4250	-1.122
10.4500	-5.010
10.4750	-8.262
10.5000	-10.131
10.5250	-10.169
10.5500	-8.449
10.5750	-5.309
10.6000	-1.421
10.6250	2.430
10.6500	5.421
10.6750	6.954
10.7000	6.655
10.7250	4.598
10.7500	1.234
10.7750	-2.766
10.8000	-6.468
10.8250	-9.197
10.8500	-10.243
10.8750	-9.533
10.9000	-7.141
10.9250	-3.664
10.9500	0.224
10.9750	3.701
11.0000	6.056
11.0250	6.841
11.0500	5.795
11.0750	3.178
11.1000	-0.449
11.1250	-4.374
11.1500	-7.776
11.1750	-9.870
11.2000	-10.281
11.2250	-8.823
11.2500	-5.944
11.2750	-2.131
11.3000	1.794
11.3250	4.972
11.3500	6.804
11.3750	6.841
11.4000	5.047
11.4250	1.869
11.4500	-2.019
11.4750	-5.869
11.5000	-8.823
11.5250	-10.206
11.5500	-9.795
11.5750	-7.664
11.6000	-4.337
11.6250	-0.486
11.6500	3.140
11.6750	5.757
11.7000	6.804
11.7250	6.056
11.7500	3.701
11.7750	0.187
11.8000	-3.701
11.8250	-7.253
11.8500	-9.608
11.8750	-10.281
11.9000	-9.159
11.9250	-6.468
11.9500	-2.766
11.9750	1.196
12.0000	4.524
12.0250	6.580
12.0500	6.916
12.0750	5.421
12.1000	2.467
12.1250	-1.383
12.1500	-5.271
12.1750	-8.412
12.2000	-10.057
12.2250	-9.944
