#Linear Position. Run #7
#Time ( s )	Linear Position ( m )
0.0000	-9.870
0.0250	-7.851
0.0500	-6.729
0.0750	-6.729
0.1000	-7.851
0.1250	-9.907
0.1500	-12.561
0.1750	-15.477
0.2000	-18.132
0.2250	-20.113
0.2500	-21.010
0.2750	-20.749
0.3000	-19.365
0.3250	-17.085
0.3500	-14.281
0.3750	-11.402
0.4000	-8.898
0.4250	-7.103
0.4500	-6.430
0.4750	-6.841
0.5000	-8.374
0.5250	-10.804
0.5500	-13.720
0.5750	-16.674
0.6000	-19.179
0.6250	-20.823
0.6500	-21.272
0.6750	-20.524
0.7000	-18.692
0.7250	-16.150
0.7500	-13.160
0.7750	-10.281
0.8000	-7.926
0.8250	-6.542
0.8500	-6.243
0.8750	-7.215
0.9000	-9.197
0.9250	-11.888
0.9500	-14.954
0.9750	-17.870
1.0000	-20.076
1.0250	-21.309
1.0500	-21.272
1.0750	-20.001
1.1000	-17.758
1.1250	-14.879
1.1500	-11.851
1.1750	-9.047
1.2000	-7.066
1.2250	-6.094
1.2500	-6.355
1.2750	-7.813
1.3000	-10.281
1.3250	-13.272
1.3500	-16.375
1.3750	-19.066
1.4000	-20.973
1.4250	-21.609
1.4500	-21.010
1.4750	-19.291
1.5000	-16.636
1.5250	-13.571
1.5500	-10.543
1.5750	-8.000
1.6000	-6.355
1.6250	-5.944
1.6500	-6.767
1.6750	-8.673
1.7000	-11.402
1.7250	-14.580
1.7500	-17.646
1.7750	-20.076
1.8000	-21.534
1.8250	-21.683
1.8500	-20.524
1.8750	-18.319
1.9000	-15.440
1.9250	-12.225
1.9500	-9.271
1.9750	-7.028
2.0000	-5.869
2.0250	-5.944
2.0500	-7.327
2.0750	-9.720
2.1000	-12.748
2.1250	-16.001
2.1500	-18.917
2.1750	-20.973
2.2000	-21.870
2.2250	-21.422
2.2500	-19.777
2.2750	-17.085
2.3000	-13.982
2.3250	-10.879
2.3500	-8.187
2.3750	-6.355
2.4000	-5.720
2.4250	-6.468
2.4500	-8.337
2.4750	-11.103
2.5000	-14.356
2.5250	-17.496
2.5500	-20.038
2.5750	-21.609
2.6000	-21.945
2.6250	-20.898
2.6500	-18.767
2.6750	-15.889
2.7000	-12.599
2.7250	-9.496
2.7500	-7.178
2.7750	-5.832
2.8000	-5.757
2.8250	-7.028
2.8500	-9.346
2.8750	-12.374
2.9000	-15.702
2.9250	-18.730
2.9500	-20.936
2.9750	-21.945
3.0000	-21.646
3.0250	-20.076
3.0500	-17.534
3.0750	-14.431
3.1000	-11.253
3.1250	-8.412
3.1500	-6.468
3.1750	-5.720
3.2000	-6.281
3.2250	-8.038
3.2500	-10.729
3.2750	-13.907
3.3000	-17.122
3.3250	-19.814
3.3500	-21.571
3.3750	-22.020
3.4000	-21.123
3.4250	-19.066
3.4500	-16.150
3.4750	-12.860
3.5000	-9.720
3.5250	-7.253
3.5500	-5.795
3.5750	-5.608
3.6000	-6.767
3.6250	-9.047
3.6500	-12.075
3.6750	-15.403
3.7000	-18.506
3.7250	-20.823
3.7500	-22.020
3.7750	-21.833
3.8000	-20.337
3.8250	-17.870
3.8500	-14.730
3.8750	-11.515
3.9000	-8.599
3.9250	-6.580
3.9500	-5.683
3.9750	-6.094
4.0000	-7.739
4.0250	-10.356
4.0500	-13.496
4.0750	-16.786
4.1000	-19.590
4.1250	-21.459
4.1500	-22.057
4.1750	-21.309
4.2000	-19.365
4.2250	-16.487
4.2500	-13.234
4.2750	-10.057
4.3000	-7.440
4.3250	-5.832
4.3500	-5.533
4.3750	-6.542
4.4000	-8.711
4.4250	-11.702
4.4500	-15.066
4.4750	-18.244
4.5000	-20.711
4.5250	-22.020
4.5500	-21.982
4.5750	-20.599
4.6000	-18.169
4.6250	-15.104
4.6500	-11.776
4.6750	-8.823
4.7000	-6.617
4.7250	-5.608
4.7500	-5.907
4.7750	-7.514
4.8000	-10.057
4.8250	-13.272
4.8500	-16.599
4.8750	-19.478
4.9000	-21.459
4.9250	-22.169
4.9500	-21.534
4.9750	-19.627
5.0000	-16.823
5.0250	-13.533
5.0500	-10.281
5.0750	-7.589
5.1000	-5.869
5.1250	-5.421
5.1500	-6.355
5.1750	-8.486
5.2000	-11.477
5.2250	-14.842
5.2500	-18.057
5.2750	-20.599
5.3000	-22.020
5.3250	-22.095
5.3500	-20.823
5.3750	-18.468
5.4000	-15.365
5.4250	-12.038
5.4500	-8.972
5.4750	-6.729
5.5000	-5.570
5.5250	-5.757
5.5500	-7.215
5.5750	-9.757
5.6000	-12.935
5.6250	-16.337
5.6500	-19.328
5.6750	-21.422
5.7000	-22.281
5.7250	-21.758
5.7500	-19.964
5.7750	-17.197
5.8000	-13.907
5.8250	-10.580
5.8500	-7.776
5.8750	-5.944
5.9000	-5.383
5.9250	-6.131
5.9500	-8.150
5.9750	-11.066
6.0000	-14.468
6.0250	-17.720
6.0500	-20.412
6.0750	-21.982
6.1000	-22.207
6.1250	-21.048
6.1500	-18.767
6.1750	-15.739
6.2000	-12.412
6.2250	-9.271
6.2500	-6.879
6.2750	-5.608
6.3000	-5.645
6.3250	-7.028
6.3500	-9.496
6.3750	-12.674
6.4000	-16.076
6.4250	-19.141
6.4500	-21.384
6.4750	-22.356
6.5000	-21.945
6.5250	-20.188
6.5500	-17.459
6.5750	-14.132
6.6000	-10.767
6.6250	-7.888
6.6500	-5.982
6.6750	-5.271
6.7000	-6.019
6.7250	-7.963
6.7500	-10.879
6.7750	-14.244
6.8000	-17.571
6.8250	-20.300
6.8500	-21.945
6.8750	-22.281
6.9000	-21.197
6.9250	-18.954
6.9500	-15.926
6.9750	-12.599
7.0000	-9.421
7.0250	-6.991
7.0500	-5.608
7.0750	-5.608
7.1000	-6.879
7.1250	-9.271
7.1500	-12.412
7.1750	-15.851
7.2000	-18.954
7.2250	-21.272
7.2500	-22.356
7.2750	-22.057
7.3000	-20.412
7.3250	-17.758
7.3500	-14.431
7.3750	-11.029
7.4000	-8.075
7.4250	-6.056
7.4500	-5.271
7.4750	-5.869
7.5000	-7.701
7.5250	-10.543
7.5500	-13.907
7.5750	-17.309
7.6000	-20.113
7.6250	-21.870
7.6500	-22.319
7.6750	-21.309
7.7000	-19.179
7.7250	-16.225
7.7500	-12.898
7.7750	-9.720
7.8000	-7.178
7.8250	-5.720
7.8500	-5.570
7.8750	-6.767
7.9000	-9.122
7.9250	-12.262
7.9500	-15.627
7.9750	-18.842
8.0000	-21.197
8.0250	-22.394
8.0500	-22.169
8.0750	-20.599
8.1000	-17.907
8.1250	-14.543
8.1500	-11.141
8.1750	-8.150
8.2000	-6.056
8.2250	-5.234
8.2500	-5.757
8.2750	-7.589
8.3000	-10.393
8.3250	-13.758
8.3500	-17.197
8.3750	-20.038
8.4000	-21.870
8.4250	-22.319
8.4500	-21.422
8.4750	-19.328
8.5000	-16.375
8.5250	-13.047
8.5500	-9.870
8.5750	-7.290
8.6000	-5.757
8.6250	-5.570
8.6500	-6.729
8.6750	-9.010
8.7000	-12.075
8.7250	-15.477
8.7500	-18.655
8.7750	-21.123
8.8000	-22.356
8.8250	-22.244
8.8500	-20.711
8.8750	-18.132
8.9000	-14.804
8.9250	-11.365
8.9500	-8.299
8.9750	-6.169
9.0000	-5.234
9.0250	-5.683
9.0500	-7.440
9.0750	-10.206
9.1000	-13.608
9.1250	-17.010
9.1500	-19.889
9.1750	-21.758
9.2000	-22.319
9.2250	-21.459
9.2500	-19.440
9.2750	-16.524
9.3000	-13.234
9.3250	-10.019
9.3500	-7.402
9.3750	-5.832
9.4000	-5.570
9.4250	-6.617
9.4500	-8.860
9.4750	-11.888
9.5000	-15.290
9.5250	-18.543
9.5500	-21.010
9.5750	-22.319
9.6000	-22.244
9.6250	-20.823
9.6500	-18.244
9.6750	-14.991
9.7000	-11.552
9.7250	-8.449
9.7500	-6.243
9.7750	-5.271
9.8000	-5.645
9.8250	-7.365
9.8500	-10.094
9.8750	-13.459
9.9000	-16.861
9.9250	-19.739
9.9500	-21.683
9.9750	-22.281
10.0000	-21.496
10.0250	-19.515
10.0500	-16.674
10.0750	-13.346
10.1000	-10.169
10.1250	-7.552
10.1500	-5.944
10.1750	-5.608
10.2000	-6.617
10.2250	-8.823
10.2500	-11.814
10.2750	-15.178
10.3000	-18.431
10.3250	-20.936
10.3500	-22.319
10.3750	-22.281
10.4000	-20.861
10.4250	-18.319
10.4500	-15.066
10.4750	-11.627
10.5000	-8.524
10.5250	-6.281
10.5500	-5.234
10.5750	-5.570
10.6000	-7.215
10.6250	-9.982
10.6500	-13.309
10.6750	-16.748
