#Angular Position. Run #11
#Time ( s )	Angular Position ( rad )
0.0000	-0.875
0.0250	-0.877
0.0500	-0.877
0.0750	-0.877
0.1000	-0.877
0.1250	-0.875
0.1500	-0.873
0.1750	-0.873
0.2000	-0.873
0.2250	-0.873
0.2500	-0.875
0.2750	-0.878
0.3000	-0.880
0.3250	-0.881
0.3500	-0.883
0.3750	-0.884
0.4000	-0.886
0.4250	-0.888
0.4500	-0.889
0.4750	-0.891
0.5000	-0.892
0.5250	-0.894
0.5500	-0.894
0.5750	-0.891
0.6000	-0.883
0.6250	-0.880
0.6500	-0.880
0.6750	-0.875
0.7000	-0.867
0.7250	-0.850
0.7500	-0.829
0.7750	-0.804
0.8000	-0.774
0.8250	-0.741
0.8500	-0.707
0.8750	-0.669
0.9000	-0.631
0.9250	-0.592
0.9500	-0.551
0.9750	-0.511
1.0000	-0.471
1.0250	-0.432
1.0500	-0.393
1.0750	-0.355
1.1000	-0.319
1.1250	-0.284
1.1500	-0.251
1.1750	-0.220
1.2000	-0.188
1.2250	-0.162
1.2500	-0.135
1.2750	-0.112
1.3000	-0.090
1.3250	-0.071
1.3500	-0.052
1.3750	-0.036
1.4000	-0.022
1.4250	-0.009
1.4500	0.002
1.4750	0.011
1.5000	0.019
1.5250	0.027
1.5500	0.033
1.5750	0.038
1.6000	0.042
1.6250	0.044
1.6500	0.047
1.6750	0.049
1.7000	0.049
1.7250	0.049
1.7500	0.049
1.7750	0.049
1.8000	0.049
1.8250	0.047
1.8500	0.046
1.8750	0.046
1.9000	0.044
1.9250	0.042
1.9500	0.041
1.9750	0.039
2.0000	0.038
2.0250	0.038
2.0500	0.036
2.0750	0.035
2.1000	0.033
2.1250	0.033
2.1500	0.031
2.1750	0.031
2.2000	0.030
2.2250	0.030
2.2500	0.028
2.2750	0.028
2.3000	0.027
2.3250	0.027
2.3500	0.025
2.3750	0.025
2.4000	0.025
2.4250	0.025
2.4500	0.025
2.4750	0.025
2.5000	0.025
2.5250	0.025
2.5500	0.024
2.5750	0.024
2.6000	0.024
2.6250	0.024
2.6500	0.024
2.6750	0.024
2.7000	0.024
2.7250	0.024
2.7500	0.024
2.7750	0.024
2.8000	0.024
2.8250	0.024
2.8500	0.024
2.8750	0.024
2.9000	0.024
2.9250	0.024
2.9500	0.024
2.9750	0.024
3.0000	0.024
3.0250	0.024
3.0500	0.024
3.0750	0.024
3.1000	0.024
3.1250	0.024
3.1500	0.024
3.1750	0.024
3.2000	0.024
3.2250	0.024
3.2500	0.024
3.2750	0.024
3.3000	0.024
3.3250	0.024
3.3500	0.024
3.3750	0.024
3.4000	0.024
3.4250	0.024
3.4500	0.024
3.4750	0.024
3.5000	0.024
3.5250	0.024
3.5500	0.024
3.5750	0.024
3.6000	0.024
3.6250	0.024
3.6500	0.024
3.6750	0.024
3.7000	0.024
3.7250	0.024
3.7500	0.024
3.7750	0.024
3.8000	0.024
3.8250	0.024
3.8500	0.024
3.8750	0.024
3.9000	0.024
3.9250	0.024
3.9500	0.024
3.9750	0.024
4.0000	0.024
4.0250	0.024
4.0500	0.024
4.0750	0.024
4.1000	0.024
4.1250	0.024
4.1500	0.024
4.1750	0.024
4.2000	0.024
4.2250	0.024
4.2500	0.024
4.2750	0.024
4.3000	0.024
4.3250	0.024
4.3500	0.024
4.3750	0.024
4.4000	0.024
4.4250	0.024
4.4500	0.024
4.4750	0.024
4.5000	0.024
4.5250	0.024
4.5500	0.024
4.5750	0.024
4.6000	0.024
4.6250	0.024
4.6500	0.024
4.6750	0.024
4.7000	0.024
4.7250	0.024
4.7500	0.024
4.7750	0.024
4.8000	0.024
4.8250	0.024
4.8500	0.024
4.8750	0.024
4.9000	0.024
4.9250	0.024
4.9500	0.024
4.9750	0.024
5.0000	0.024
5.0250	0.024
5.0500	0.024
5.0750	0.024
5.1000	0.024
5.1250	0.024
5.1500	0.024
5.1750	0.024
5.2000	0.024
5.2250	0.024
5.2500	0.024
5.2750	0.022
5.3000	0.022
5.3250	0.022
5.3500	0.022
5.3750	0.022
5.4000	0.022
5.4250	0.022
5.4500	0.022
5.4750	0.022
5.5000	0.022
5.5250	0.022
5.5500	0.022
5.5750	0.022
5.6000	0.022
5.6250	0.022
5.6500	0.022
5.6750	0.022
5.7000	0.022
5.7250	0.022
5.7500	0.022
5.7750	0.022
5.8000	0.022
5.8250	0.022
5.8500	0.022
5.8750	0.022
5.9000	0.022
5.9250	0.022
5.9500	0.022
5.9750	0.022
6.0000	0.022
6.0250	0.022
6.0500	0.022
6.0750	0.022
6.1000	0.022
6.1250	0.022
6.1500	0.022
6.1750	0.022
6.2000	0.022
6.2250	0.022
6.2500	0.022
6.2750	0.022
6.3000	0.022
6.3250	0.022
6.3500	0.022
6.3750	0.022
6.4000	0.022
6.4250	0.022
6.4500	0.022
6.4750	0.022
6.5000	0.022
6.5250	0.022
6.5500	0.022
6.5750	0.022
6.6000	0.022
6.6250	0.022
6.6500	0.022
6.6750	0.022
6.7000	0.022
6.7250	0.022
6.7500	0.022
6.7750	0.022
6.8000	0.022
6.8250	0.022
6.8500	0.022
6.8750	0.022
6.9000	0.022
6.9250	0.022
6.9500	0.022
6.9750	0.022
7.0000	0.022
7.0250	0.022
7.0500	0.022
7.0750	0.022
7.1000	0.022
7.1250	0.022
7.1500	0.022
7.1750	0.022
7.2000	0.022
7.2250	0.022
7.2500	0.022
7.2750	0.022
7.3000	0.022
7.3250	0.022
7.3500	0.022
7.3750	0.022
7.4000	0.022
7.4250	0.022
7.4500	0.022
7.4750	0.022
7.5000	0.022
7.5250	0.022
7.5500	0.022
7.5750	0.022
7.6000	0.022
7.6250	0.022
7.6500	0.022
7.6750	0.022
7.7000	0.022
7.7250	0.022
7.7500	0.022
7.7750	0.022
7.8000	0.020
