#Angular Position. Run #2
#Time ( s )	Angular Position ( rad )
0.0000	-1.469
0.0250	-1.467
0.0500	-1.466
0.0750	-1.464
0.1000	-1.462
0.1250	-1.461
0.1500	-1.459
0.1750	-1.458
0.2000	-1.458
0.2250	-1.458
0.2500	-1.458
0.2750	-1.458
0.3000	-1.458
0.3250	-1.456
0.3500	-1.456
0.3750	-1.458
0.4000	-1.458
0.4250	-1.458
0.4500	-1.459
0.4750	-1.461
0.5000	-1.464
0.5250	-1.466
0.5500	-1.466
0.5750	-1.461
0.6000	-1.445
0.6250	-1.417
0.6500	-1.378
0.6750	-1.329
0.7000	-1.269
0.7250	-1.199
0.7500	-1.118
0.7750	-1.032
0.8000	-0.938
0.8250	-0.837
0.8500	-0.730
0.8750	-0.619
0.9000	-0.504
0.9250	-0.390
0.9500	-0.270
0.9750	-0.151
1.0000	-0.033
1.0250	0.082
1.0500	0.195
1.0750	0.306
1.1000	0.410
1.1250	0.511
1.1500	0.605
1.1750	0.693
1.2000	0.773
1.2250	0.847
1.2500	0.911
1.2750	0.968
1.3000	1.015
1.3250	1.054
1.3500	1.082
1.3750	1.101
1.4000	1.111
1.4250	1.112
1.4500	1.104
1.4750	1.087
1.5000	1.060
1.5250	1.027
1.5500	0.985
1.5750	0.936
1.6000	0.881
1.6250	0.822
1.6500	0.754
1.6750	0.683
1.7000	0.608
1.7250	0.529
1.7500	0.448
1.7750	0.364
1.8000	0.280
1.8250	0.193
1.8500	0.108
1.8750	0.025
1.9000	-0.058
1.9250	-0.138
1.9500	-0.215
1.9750	-0.289
2.0000	-0.360
2.0250	-0.426
2.0500	-0.485
2.0750	-0.540
2.1000	-0.591
2.1250	-0.635
2.1500	-0.672
2.1750	-0.702
2.2000	-0.727
2.2250	-0.743
2.2500	-0.754
2.2750	-0.759
2.3000	-0.756
2.3250	-0.748
2.3500	-0.730
2.3750	-0.710
2.4000	-0.682
2.4250	-0.649
2.4500	-0.611
2.4750	-0.570
2.5000	-0.523
2.5250	-0.473
2.5500	-0.419
2.5750	-0.363
2.6000	-0.305
2.6250	-0.245
2.6500	-0.182
2.6750	-0.121
2.7000	-0.058
2.7250	0.002
2.7500	0.063
2.7750	0.121
2.8000	0.178
2.8250	0.231
2.8500	0.283
2.8750	0.330
2.9000	0.374
2.9250	0.415
2.9500	0.451
2.9750	0.482
3.0000	0.511
3.0250	0.533
3.0500	0.551
3.0750	0.564
3.1000	0.573
3.1250	0.576
3.1500	0.576
3.1750	0.570
3.2000	0.559
3.2250	0.545
3.2500	0.526
3.2750	0.503
3.3000	0.478
3.3250	0.448
3.3500	0.416
3.3750	0.382
3.4000	0.344
3.4250	0.305
3.4500	0.264
3.4750	0.221
3.5000	0.179
3.5250	0.137
3.5500	0.094
3.5750	0.050
3.6000	0.008
3.6250	-0.033
3.6500	-0.072
3.6750	-0.110
3.7000	-0.146
3.7250	-0.181
3.7500	-0.212
3.7750	-0.240
3.8000	-0.267
3.8250	-0.291
3.8500	-0.309
3.8750	-0.327
3.9000	-0.339
3.9250	-0.350
3.9500	-0.357
3.9750	-0.360
4.0000	-0.360
4.0250	-0.357
4.0500	-0.350
4.0750	-0.341
4.1000	-0.328
4.1250	-0.314
4.1500	-0.295
4.1750	-0.276
4.2000	-0.253
4.2250	-0.229
4.2500	-0.204
4.2750	-0.178
4.3000	-0.149
4.3250	-0.121
4.3500	-0.091
4.3750	-0.061
4.4000	-0.031
4.4250	-0.002
4.4500	0.027
4.4750	0.057
4.5000	0.083
4.5250	0.110
4.5500	0.135
4.5750	0.159
4.6000	0.181
4.6250	0.199
4.6500	0.217
4.6750	0.232
4.7000	0.245
4.7250	0.258
4.7500	0.265
4.7750	0.272
4.8000	0.275
4.8250	0.276
4.8500	0.276
4.8750	0.273
4.9000	0.269
4.9250	0.261
4.9500	0.251
4.9750	0.240
5.0000	0.228
5.0250	0.214
5.0500	0.198
5.0750	0.182
5.1000	0.163
5.1250	0.146
5.1500	0.127
5.1750	0.107
5.2000	0.088
5.2250	0.068
5.2500	0.049
5.2750	0.030
5.3000	0.009
5.3250	-0.008
5.3500	-0.027
5.3750	-0.044
5.4000	-0.060
5.4250	-0.075
5.4500	-0.090
