#Angular Position. Run #7
#Time ( s )	Angular Position ( rad )
0.0000	-0.024
0.0250	-0.024
0.0500	-0.024
0.0750	-0.024
0.1000	-0.024
0.1250	-0.024
0.1500	-0.024
0.1750	-0.027
0.2000	-0.033
0.2250	-0.041
0.2500	-0.052
0.2750	-0.060
0.3000	-0.069
0.3250	-0.075
0.3500	-0.082
0.3750	-0.085
0.4000	-0.088
0.4250	-0.091
0.4500	-0.097
0.4750	-0.112
0.5000	-0.132
0.5250	-0.170
0.5500	-0.231
0.5750	-0.313
0.6000	-0.405
0.6250	-0.509
0.6500	-0.617
0.6750	-0.726
0.7000	-0.842
0.7250	-0.975
0.7500	-1.125
0.7750	-1.275
0.8000	-1.411
0.8250	-1.514
0.8500	-1.590
0.8750	-1.641
0.9000	-1.674
0.9250	-1.685
0.9500	-1.685
0.9750	-1.670
1.0000	-1.643
1.0250	-1.607
1.0500	-1.561
1.0750	-1.511
1.1000	-1.456
1.1250	-1.396
1.1500	-1.337
1.1750	-1.275
1.2000	-1.213
1.2250	-1.151
1.2500	-1.089
1.2750	-1.029
1.3000	-0.971
1.3250	-0.913
1.3500	-0.856
1.3750	-0.800
1.4000	-0.746
1.4250	-0.694
1.4500	-0.644
1.4750	-0.595
1.5000	-0.550
1.5250	-0.506
1.5500	-0.463
1.5750	-0.424
1.6000	-0.386
1.6250	-0.352
1.6500	-0.319
1.6750	-0.287
1.7000	-0.259
1.7250	-0.232
1.7500	-0.209
1.7750	-0.185
1.8000	-0.165
1.8250	-0.146
1.8500	-0.130
1.8750	-0.115
1.9000	-0.102
1.9250	-0.090
1.9500	-0.079
1.9750	-0.069
2.0000	-0.060
2.0250	-0.053
2.0500	-0.046
2.0750	-0.041
2.1000	-0.035
2.1250	-0.031
2.1500	-0.027
2.1750	-0.024
2.2000	-0.020
2.2250	-0.017
2.2500	-0.016
2.2750	-0.014
2.3000	-0.013
2.3250	-0.011
2.3500	-0.009
2.3750	-0.009
2.4000	-0.008
2.4250	-0.008
2.4500	-0.008
2.4750	-0.008
2.5000	-0.006
2.5250	-0.006
2.5500	-0.006
2.5750	-0.006
2.6000	-0.006
2.6250	-0.006
2.6500	-0.006
2.6750	-0.006
2.7000	-0.006
2.7250	-0.006
2.7500	-0.006
2.7750	-0.006
2.8000	-0.006
2.8250	-0.006
2.8500	-0.006
2.8750	-0.006
2.9000	-0.006
2.9250	-0.006
2.9500	-0.006
2.9750	-0.006
3.0000	-0.006
3.0250	-0.006
3.0500	-0.006
3.0750	-0.006
3.1000	-0.006
3.1250	-0.006
3.1500	-0.006
3.1750	-0.006
3.2000	-0.006
3.2250	-0.006
3.2500	-0.006
3.2750	-0.006
3.3000	-0.006
3.3250	-0.006
3.3500	-0.006
3.3750	-0.006
3.4000	-0.006
3.4250	-0.006
3.4500	-0.006
3.4750	-0.006
3.5000	-0.006
3.5250	-0.006
3.5500	-0.006
3.5750	-0.006
3.6000	-0.006
3.6250	-0.006
3.6500	-0.006
3.6750	-0.006
3.7000	-0.006
3.7250	-0.006
3.7500	-0.006
3.7750	-0.006
3.8000	-0.006
3.8250	-0.006
3.8500	-0.006
3.8750	-0.005
3.9000	-0.005
3.9250	-0.005
