#Linear Position. Run #14
#Time ( s )	Linear Position ( m )
7.9250	-1.944
7.9500	-1.907
7.9750	-1.869
8.0000	-1.869
8.0250	-1.832
8.0500	-1.794
8.0750	-1.757
8.1000	-1.720
8.1250	-1.645
8.1500	-1.570
8.1750	-1.495
8.2000	-1.458
8.2250	-1.421
8.2500	-1.346
8.2750	-1.308
8.3000	-1.271
8.3250	-1.196
8.3500	-1.122
8.3750	-1.084
8.4000	-1.009
8.4250	-0.972
8.4500	-0.897
8.4750	-0.822
8.5000	-0.748
8.5250	-0.710
8.5500	-0.673
8.5750	-0.598
8.6000	-0.561
8.6250	-0.561
8.6500	-0.523
8.6750	-0.523
8.7000	-0.523
8.7250	-0.486
8.7500	-0.449
8.7750	-0.449
8.8000	-0.449
8.8250	-0.411
8.8500	-0.411
8.8750	-0.411
8.9000	-0.411
8.9250	-0.411
8.9500	-0.411
8.9750	-0.411
9.0000	-0.411
9.0250	-0.411
9.0500	-0.411
9.0750	-0.411
9.1000	-0.449
9.1250	-0.486
9.1500	-0.486
9.1750	-0.523
9.2000	-0.561
9.2250	-0.598
9.2500	-0.636
9.2750	-0.673
9.3000	-0.710
9.3250	-0.748
9.3500	-0.822
9.3750	-0.897
9.4000	-0.935
9.4250	-1.009
9.4500	-1.084
9.4750	-1.159
9.5000	-1.196
9.5250	-1.234
9.5500	-1.308
9.5750	-1.346
9.6000	-1.383
9.6250	-1.458
9.6500	-1.495
9.6750	-1.570
9.7000	-1.608
9.7250	-1.682
9.7500	-1.720
9.7750	-1.757
9.8000	-1.794
9.8250	-1.794
9.8500	-1.832
9.8750	-1.869
9.9000	-1.907
9.9250	-1.907
9.9500	-1.907
9.9750	-1.907
10.0000	-1.944
10.0250	-1.944
10.0500	-1.944
10.0750	-1.944
10.1000	-1.944
10.1250	-1.944
10.1500	-1.944
10.1750	-1.944
10.2000	-1.944
10.2250	-1.944
10.2500	-1.944
10.2750	-1.944
10.3000	-1.944
10.3250	-1.944
10.3500	-1.944
