#Angular Position. Run #4
#Time ( s )	Angular Position ( rad )
0.0000	-1.374
0.0250	-1.376
0.0500	-1.376
0.0750	-1.378
0.1000	-1.379
0.1250	-1.379
0.1500	-1.379
0.1750	-1.378
0.2000	-1.378
0.2250	-1.376
0.2500	-1.376
0.2750	-1.373
0.3000	-1.370
0.3250	-1.368
0.3500	-1.363
0.3750	-1.349
0.4000	-1.324
0.4250	-1.290
0.4500	-1.246
0.4750	-1.194
0.5000	-1.136
0.5250	-1.070
0.5500	-0.997
0.5750	-0.922
0.6000	-0.842
0.6250	-0.757
0.6500	-0.671
0.6750	-0.581
0.7000	-0.492
0.7250	-0.404
0.7500	-0.314
0.7750	-0.228
0.8000	-0.143
0.8250	-0.060
0.8500	0.019
0.8750	0.093
0.9000	0.162
0.9250	0.226
0.9500	0.286
0.9750	0.339
1.0000	0.390
1.0250	0.434
1.0500	0.471
1.0750	0.503
1.1000	0.531
1.1250	0.551
1.1500	0.567
1.1750	0.578
1.2000	0.584
1.2250	0.584
1.2500	0.580
1.2750	0.572
1.3000	0.559
1.3250	0.542
1.3500	0.522
1.3750	0.498
1.4000	0.473
1.4250	0.445
1.4500	0.413
1.4750	0.382
1.5000	0.347
1.5250	0.313
1.5500	0.278
1.5750	0.243
1.6000	0.207
1.6250	0.171
1.6500	0.138
1.6750	0.105
1.7000	0.072
1.7250	0.042
1.7500	0.013
1.7750	-0.016
1.8000	-0.042
1.8250	-0.064
1.8500	-0.088
1.8750	-0.107
1.9000	-0.124
1.9250	-0.140
1.9500	-0.152
1.9750	-0.163
2.0000	-0.171
2.0250	-0.178
2.0500	-0.182
2.0750	-0.184
2.1000	-0.184
2.1250	-0.182
2.1500	-0.179
2.1750	-0.176
2.2000	-0.170
2.2250	-0.162
2.2500	-0.152
2.2750	-0.143
2.3000	-0.132
2.3250	-0.121
2.3500	-0.108
2.3750	-0.096
2.4000	-0.083
2.4250	-0.071
2.4500	-0.058
2.4750	-0.046
2.5000	-0.033
2.5250	-0.020
2.5500	-0.008
2.5750	0.005
2.6000	0.016
2.6250	0.027
2.6500	0.038
2.6750	0.047
2.7000	0.055
2.7250	0.063
2.7500	0.071
2.7750	0.077
2.8000	0.082
2.8250	0.088
2.8500	0.091
2.8750	0.094
2.9000	0.096
2.9250	0.097
2.9500	0.097
2.9750	0.097
3.0000	0.097
3.0250	0.096
3.0500	0.094
3.0750	0.091
3.1000	0.088
3.1250	0.086
3.1500	0.082
3.1750	0.079
3.2000	0.075
3.2250	0.071
3.2500	0.068
3.2750	0.063
3.3000	0.058
3.3250	0.055
3.3500	0.050
3.3750	0.046
3.4000	0.042
3.4250	0.038
3.4500	0.035
3.4750	0.031
3.5000	0.028
3.5250	0.025
3.5500	0.022
3.5750	0.019
3.6000	0.017
3.6250	0.014
3.6500	0.013
3.6750	0.011
3.7000	0.011
3.7250	0.009
3.7500	0.008
3.7750	0.008
3.8000	0.006
3.8250	0.006
3.8500	0.006
3.8750	0.006
3.9000	0.006
3.9250	0.006
3.9500	0.006
3.9750	0.008
4.0000	0.008
4.0250	0.008
4.0500	0.009
4.0750	0.009
4.1000	0.011
4.1250	0.011
4.1500	0.011
4.1750	0.013
4.2000	0.013
4.2250	0.013
4.2500	0.013
4.2750	0.014
4.3000	0.014
4.3250	0.016
4.3500	0.016
4.3750	0.016
4.4000	0.016
4.4250	0.017
4.4500	0.017
4.4750	0.017
4.5000	0.017
4.5250	0.017
4.5500	0.017
4.5750	0.017
4.6000	0.017
4.6250	0.017
4.6500	0.017
4.6750	0.017
4.7000	0.017
4.7250	0.017
4.7500	0.017
4.7750	0.017
4.8000	0.017
4.8250	0.017
4.8500	0.017
4.8750	0.017
4.9000	0.017
4.9250	0.017
4.9500	0.017
4.9750	0.017
5.0000	0.017
5.0250	0.017
5.0500	0.017
5.0750	0.017
5.1000	0.017
5.1250	0.017
5.1500	0.017
5.1750	0.017
5.2000	0.017
5.2250	0.017
5.2500	0.017
5.2750	0.017
5.3000	0.017
5.3250	0.017
5.3500	0.017
5.3750	0.017
5.4000	0.017
5.4250	0.017
5.4500	0.017
5.4750	0.017
5.5000	0.017
5.5250	0.017
5.5500	0.017
5.5750	0.017
5.6000	0.017
5.6250	0.017
5.6500	0.017
5.6750	0.017
5.7000	0.017
5.7250	0.017
5.7500	0.017
5.7750	0.017
5.8000	0.017
5.8250	0.017
5.8500	0.017
5.8750	0.017
5.9000	0.017
5.9250	0.017
5.9500	0.017
5.9750	0.017
6.0000	0.017
6.0250	0.017
6.0500	0.017
6.0750	0.017
6.1000	0.017
6.1250	0.017
6.1500	0.017
6.1750	0.017
6.2000	0.017
6.2250	0.017
6.2500	0.017
6.2750	0.017
6.3000	0.017
6.3250	0.017
6.3500	0.017
6.3750	0.017
6.4000	0.017
6.4250	0.017
6.4500	0.017
6.4750	0.017
6.5000	0.017
6.5250	0.017
6.5500	0.017
6.5750	0.017
6.6000	0.017
6.6250	0.017
6.6500	0.017
6.6750	0.017
6.7000	0.017
6.7250	0.017
6.7500	0.017
6.7750	0.017
6.8000	0.017
6.8250	0.017
6.8500	0.017
6.8750	0.017
6.9000	0.017
6.9250	0.017
6.9500	0.017
6.9750	0.017
7.0000	0.017
7.0250	0.017
7.0500	0.017
7.0750	0.017
7.1000	0.017
7.1250	0.017
7.1500	0.017
7.1750	0.017
7.2000	0.017
7.2250	0.017
7.2500	0.017
7.2750	0.017
7.3000	0.017
7.3250	0.017
7.3500	0.017
7.3750	0.017
7.4000	0.017
7.4250	0.017
7.4500	0.017
7.4750	0.017
7.5000	0.017
