#Linear Position. Run #16
#Time ( s )	Linear Position ( m )
0.0000	-1.271
0.0250	-0.935
0.0500	-0.598
0.0750	-0.262
0.1000	-0.037
0.1250	0.037
0.1500	0.000
0.1750	-0.150
0.2000	-0.374
0.2250	-0.710
0.2500	-1.084
0.2750	-1.495
0.3000	-1.869
0.3250	-2.206
0.3500	-2.430
0.3750	-2.542
0.4000	-2.542
0.4250	-2.393
0.4500	-2.206
0.4750	-1.981
0.5000	-1.645
0.5250	-1.308
0.5500	-0.972
0.5750	-0.636
0.6000	-0.336
0.6250	-0.075
0.6500	0.037
0.6750	0.037
0.7000	-0.112
0.7250	-0.336
0.7500	-0.673
0.7750	-1.047
0.8000	-1.458
0.8250	-1.832
0.8500	-2.168
0.8750	-2.393
0.9000	-2.505
0.9250	-2.505
0.9500	-2.393
0.9750	-2.206
1.0000	-1.981
1.0250	-1.720
1.0500	-1.383
1.0750	-1.047
1.1000	-0.673
1.1250	-0.374
1.1500	-0.150
1.1750	0.000
1.2000	0.037
1.2250	-0.075
1.2500	-0.299
1.2750	-0.598
1.3000	-0.972
1.3250	-1.383
1.3500	-1.794
1.3750	-2.168
1.4000	-2.430
1.4250	-2.542
1.4500	-2.542
1.4750	-2.467
1.5000	-2.280
1.5250	-2.019
1.5500	-1.720
1.5750	-1.383
1.6000	-1.009
1.6250	-0.673
1.6500	-0.374
1.6750	-0.112
1.7000	0.000
1.7250	0.000
1.7500	-0.075
1.7750	-0.262
1.8000	-0.561
1.8250	-0.935
1.8500	-1.346
1.8750	-1.720
1.9000	-2.094
1.9250	-2.393
1.9500	-2.542
1.9750	-2.580
2.0000	-2.505
2.0250	-2.355
2.0500	-2.094
2.0750	-1.757
2.1000	-1.421
2.1250	-1.047
2.1500	-0.710
2.1750	-0.374
2.2000	-0.112
2.2250	0.000
2.2500	0.000
2.2750	-0.075
2.3000	-0.262
2.3250	-0.523
2.3500	-0.897
2.3750	-1.308
2.4000	-1.720
2.4250	-2.094
2.4500	-2.355
2.4750	-2.542
2.5000	-2.580
2.5250	-2.505
2.5500	-2.355
2.5750	-2.094
2.6000	-1.794
2.6250	-1.458
2.6500	-1.122
2.6750	-0.748
2.7000	-0.411
2.7250	-0.150
2.7500	0.000
2.7750	0.037
2.8000	-0.037
2.8250	-0.224
2.8500	-0.486
2.8750	-0.822
2.9000	-1.234
2.9250	-1.645
2.9500	-2.019
2.9750	-2.318
3.0000	-2.467
3.0250	-2.542
3.0500	-2.467
3.0750	-2.318
3.1000	-2.131
3.1250	-1.869
3.1500	-1.533
3.1750	-1.196
3.2000	-0.860
3.2250	-0.523
3.2500	-0.224
3.2750	-0.037
3.3000	0.037
3.3250	0.000
3.3500	-0.150
3.3750	-0.411
3.4000	-0.748
3.4250	-1.159
3.4500	-1.570
3.4750	-1.981
3.5000	-2.280
3.5250	-2.467
3.5500	-2.542
3.5750	-2.505
3.6000	-2.355
3.6250	-2.168
3.6500	-1.944
3.6750	-1.645
3.7000	-1.271
3.7250	-0.935
3.7500	-0.598
3.7750	-0.299
3.8000	-0.075
3.8250	0.037
3.8500	0.037
3.8750	-0.112
3.9000	-0.336
3.9250	-0.673
3.9500	-1.084
3.9750	-1.495
4.0000	-1.869
4.0250	-2.206
4.0500	-2.430
4.0750	-2.505
4.1000	-2.505
4.1250	-2.393
4.1500	-2.243
4.1750	-1.981
4.2000	-1.720
4.2250	-1.383
4.2500	-1.047
4.2750	-0.673
4.3000	-0.374
4.3250	-0.150
4.3500	0.000
4.3750	0.037
4.4000	-0.075
4.4250	-0.299
4.4500	-0.598
4.4750	-0.972
4.5000	-1.383
4.5250	-1.757
4.5500	-2.131
4.5750	-2.393
4.6000	-2.542
4.6250	-2.542
4.6500	-2.467
4.6750	-2.280
4.7000	-2.019
4.7250	-1.757
4.7500	-1.421
4.7750	-1.084
4.8000	-0.710
4.8250	-0.411
4.8500	-0.187
4.8750	0.000
4.9000	0.000
4.9250	-0.075
4.9500	-0.224
4.9750	-0.486
5.0000	-0.860
5.0250	-1.271
5.0500	-1.682
5.0750	-2.056
5.1000	-2.355
5.1250	-2.505
5.1500	-2.542
5.1750	-2.505
5.2000	-2.355
5.2250	-2.094
5.2500	-1.832
5.2750	-1.495
5.3000	-1.159
5.3250	-0.785
5.3500	-0.449
5.3750	-0.187
5.4000	0.000
5.4250	0.037
5.4500	-0.037
5.4750	-0.187
5.5000	-0.449
5.5250	-0.822
5.5500	-1.234
5.5750	-1.645
5.6000	-1.981
5.6250	-2.280
5.6500	-2.467
5.6750	-2.542
5.7000	-2.542
5.7250	-2.393
5.7500	-2.168
5.7750	-1.907
5.8000	-1.570
5.8250	-1.234
5.8500	-0.860
5.8750	-0.523
5.9000	-0.224
5.9250	-0.037
5.9500	0.037
5.9750	0.000
6.0000	-0.187
6.0250	-0.411
6.0500	-0.748
6.0750	-1.122
6.1000	-1.533
6.1250	-1.907
6.1500	-2.243
6.1750	-2.430
6.2000	-2.542
6.2250	-2.542
6.2500	-2.393
6.2750	-2.206
6.3000	-1.944
6.3250	-1.645
6.3500	-1.308
6.3750	-0.935
6.4000	-0.598
6.4250	-0.299
6.4500	-0.037
6.4750	0.037
6.5000	0.037
6.5250	-0.112
6.5500	-0.374
6.5750	-0.673
6.6000	-1.084
6.6250	-1.495
6.6500	-1.869
6.6750	-2.206
6.7000	-2.430
6.7250	-2.542
6.7500	-2.542
6.7750	-2.430
6.8000	-2.243
6.8250	-1.981
6.8500	-1.682
6.8750	-1.383
6.9000	-1.009
6.9250	-0.636
6.9500	-0.336
6.9750	-0.112
