#Angular Position. Run #1
#Time ( s )	Angular Position ( rad )
0.0000	-0.005
0.0250	-0.005
0.0500	-0.005
0.0750	-0.005
0.1000	-0.005
0.1250	-0.005
0.1500	-0.005
0.1750	-0.005
0.2000	-0.005
0.2250	-0.005
0.2500	-0.005
0.2750	-0.005
0.3000	-0.005
0.3250	-0.005
0.3500	-0.005
0.3750	-0.005
0.4000	-0.005
0.4250	-0.005
0.4500	-0.005
0.4750	-0.005
0.5000	-0.005
0.5250	-0.005
0.5500	-0.005
0.5750	-0.005
0.6000	-0.005
0.6250	-0.005
0.6500	-0.005
0.6750	-0.005
0.7000	-0.005
0.7250	-0.005
0.7500	-0.005
0.7750	-0.005
0.8000	-0.005
0.8250	-0.005
0.8500	-0.005
0.8750	-0.005
0.9000	-0.005
0.9250	-0.005
0.9500	-0.005
0.9750	-0.005
1.0000	-0.006
1.0250	-0.017
1.0500	-0.036
1.0750	-0.066
1.1000	-0.105
1.1250	-0.152
1.1500	-0.207
1.1750	-0.264
1.2000	-0.325
1.2250	-0.386
1.2500	-0.445
1.2750	-0.501
1.3000	-0.551
1.3250	-0.597
1.3500	-0.638
1.3750	-0.671
1.4000	-0.701
1.4250	-0.723
1.4500	-0.740
1.4750	-0.748
1.5000	-0.752
1.5250	-0.749
1.5500	-0.740
1.5750	-0.724
1.6000	-0.704
1.6250	-0.675
1.6500	-0.642
1.6750	-0.605
1.7000	-0.562
1.7250	-0.514
1.7500	-0.463
1.7750	-0.407
1.8000	-0.349
1.8250	-0.287
1.8500	-0.225
1.8750	-0.159
1.9000	-0.093
1.9250	-0.027
1.9500	0.041
1.9750	0.107
2.0000	0.171
2.0250	0.236
2.0500	0.297
2.0750	0.355
2.1000	0.412
2.1250	0.462
2.1500	0.511
2.1750	0.553
2.2000	0.591
2.2250	0.624
2.2500	0.650
2.2750	0.672
2.3000	0.688
2.3250	0.699
2.3500	0.702
2.3750	0.701
2.4000	0.693
2.4250	0.679
2.4500	0.660
2.4750	0.636
2.5000	0.606
2.5250	0.572
2.5500	0.533
2.5750	0.489
2.6000	0.441
2.6250	0.391
2.6500	0.338
2.6750	0.281
2.7000	0.223
2.7250	0.163
2.7500	0.102
2.7750	0.039
2.8000	-0.022
2.8250	-0.083
2.8500	-0.143
2.8750	-0.203
2.9000	-0.259
2.9250	-0.314
2.9500	-0.366
2.9750	-0.415
3.0000	-0.459
3.0250	-0.501
3.0500	-0.537
3.0750	-0.569
3.1000	-0.595
3.1250	-0.616
3.1500	-0.633
3.1750	-0.642
3.2000	-0.647
3.2250	-0.647
3.2500	-0.641
3.2750	-0.630
3.3000	-0.613
3.3250	-0.591
3.3500	-0.564
3.3750	-0.533
3.4000	-0.496
3.4250	-0.457
3.4500	-0.415
3.4750	-0.368
3.5000	-0.319
3.5250	-0.265
3.5500	-0.212
3.5750	-0.156
3.6000	-0.099
3.6250	-0.042
3.6500	0.016
3.6750	0.074
3.7000	0.130
3.7250	0.185
3.7500	0.239
3.7750	0.291
3.8000	0.339
3.8250	0.385
3.8500	0.426
3.8750	0.465
3.9000	0.498
3.9250	0.528
3.9500	0.553
3.9750	0.572
4.0000	0.587
4.0250	0.597
4.0500	0.602
4.0750	0.602
4.1000	0.597
4.1250	0.586
4.1500	0.570
4.1750	0.550
4.2000	0.526
4.2250	0.498
4.2500	0.465
4.2750	0.429
4.3000	0.390
4.3250	0.346
4.3500	0.302
4.3750	0.253
4.4000	0.203
4.4250	0.152
4.4500	0.101
4.4750	0.047
4.5000	-0.005
4.5250	-0.058
4.5500	-0.110
4.5750	-0.162
4.6000	-0.210
4.6250	-0.258
4.6500	-0.302
4.6750	-0.344
4.7000	-0.383
4.7250	-0.419
4.7500	-0.451
4.7750	-0.479
4.8000	-0.503
4.8250	-0.522
4.8500	-0.537
4.8750	-0.547
4.9000	-0.553
4.9250	-0.553
4.9500	-0.550
4.9750	-0.540
5.0000	-0.528
5.0250	-0.509
5.0500	-0.489
5.0750	-0.462
5.1000	-0.432
5.1250	-0.401
5.1500	-0.363
5.1750	-0.325
5.2000	-0.283
5.2250	-0.239
