#Angular Position. Run #4
#Time ( s )	Angular Position ( rad )
0.0000	-1.211
0.0250	-1.178
0.0500	-1.137
0.0750	-1.089
0.1000	-1.032
0.1250	-0.972
0.1500	-0.914
0.1750	-0.861
0.2000	-0.812
0.2250	-0.773
0.2500	-0.748
0.2750	-0.735
0.3000	-0.740
0.3250	-0.759
0.3500	-0.787
0.3750	-0.828
0.4000	-0.875
0.4250	-0.922
0.4500	-0.966
0.4750	-1.004
0.5000	-1.030
0.5250	-1.045
0.5500	-1.048
0.5750	-1.041
0.6000	-1.021
0.6250	-0.993
0.6500	-0.953
0.6750	-0.906
0.7000	-0.856
0.7250	-0.807
0.7500	-0.768
0.7750	-0.740
0.8000	-0.723
0.8250	-0.715
0.8500	-0.716
0.8750	-0.724
0.9000	-0.738
0.9250	-0.752
0.9500	-0.763
0.9750	-0.771
1.0000	-0.771
1.0250	-0.770
1.0500	-0.763
1.0750	-0.759
1.1000	-0.754
1.1250	-0.751
1.1500	-0.749
1.1750	-0.748
1.2000	-0.746
1.2250	-0.743
1.2500	-0.738
1.2750	-0.735
1.3000	-0.735
1.3250	-0.737
1.3500	-0.743
1.3750	-0.752
1.4000	-0.763
1.4250	-0.778
1.4500	-0.792
1.4750	-0.809
1.5000	-0.825
1.5250	-0.837
1.5500	-0.848
1.5750	-0.861
1.6000	-0.875
1.6250	-0.883
1.6500	-0.886
1.6750	-0.888
1.7000	-0.892
1.7250	-0.900
1.7500	-0.908
1.7750	-0.911
1.8000	-0.911
1.8250	-0.909
1.8500	-0.916
1.8750	-0.928
1.9000	-0.942
1.9250	-0.955
1.9500	-0.964
1.9750	-0.971
2.0000	-0.974
2.0250	-0.979
2.0500	-0.982
2.0750	-0.990
2.1000	-1.005
2.1250	-1.034
2.1500	-1.067
2.1750	-1.100
2.2000	-1.131
2.2250	-1.158
2.2500	-1.186
2.2750	-1.211
2.3000	-1.228
2.3250	-1.228
2.3500	-1.221
2.3750	-1.219
2.4000	-1.225
2.4250	-1.230
2.4500	-1.236
2.4750	-1.238
2.5000	-1.238
2.5250	-1.235
2.5500	-1.230
2.5750	-1.230
2.6000	-1.236
2.6250	-1.249
2.6500	-1.264
2.6750	-1.283
2.7000	-1.301
2.7250	-1.316
2.7500	-1.335
2.7750	-1.354
2.8000	-1.374
2.8250	-1.393
2.8500	-1.415
2.8750	-1.439
2.9000	-1.466
2.9250	-1.497
2.9500	-1.535
2.9750	-1.577
3.0000	-1.624
3.0250	-1.670
3.0500	-1.711
3.0750	-1.747
3.1000	-1.778
3.1250	-1.802
3.1500	-1.814
3.1750	-1.814
3.2000	-1.806
3.2250	-1.799
3.2500	-1.792
3.2750	-1.786
3.3000	-1.780
3.3250	-1.773
3.3500	-1.767
3.3750	-1.761
3.4000	-1.759
3.4250	-1.759
3.4500	-1.762
3.4750	-1.767
3.5000	-1.773
3.5250	-1.783
3.5500	-1.795
3.5750	-1.811
3.6000	-1.830
3.6250	-1.854
3.6500	-1.877
3.6750	-1.901
3.7000	-1.924
3.7250	-1.946
3.7500	-1.967
3.7750	-1.987
3.8000	-2.006
3.8250	-2.025
3.8500	-2.039
3.8750	-2.050
3.9000	-2.059
3.9250	-2.064
3.9500	-2.067
3.9750	-2.069
4.0000	-2.070
