#Linear Position. Run #3
#Time ( s )	Linear Position ( m )
0.0000	-14.132
0.0250	-14.281
0.0500	-14.393
0.0750	-14.505
0.1000	-14.543
0.1250	-14.543
0.1500	-14.543
0.1750	-14.543
0.2000	-14.543
0.2250	-14.468
0.2500	-14.393
0.2750	-14.356
0.3000	-14.206
0.3250	-14.094
0.3500	-13.907
0.3750	-13.720
0.4000	-13.496
0.4250	-13.309
0.4500	-13.122
0.4750	-12.935
0.5000	-12.860
0.5250	-12.786
0.5500	-12.786
0.5750	-12.786
0.6000	-12.786
0.6250	-12.786
0.6500	-12.786
0.6750	-12.823
0.7000	-12.860
0.7250	-12.898
0.7500	-12.973
0.7750	-13.122
0.8000	-13.234
0.8250	-13.421
0.8500	-13.571
0.8750	-13.758
0.9000	-13.945
0.9250	-14.132
0.9500	-14.281
0.9750	-14.393
1.0000	-14.468
1.0250	-14.543
1.0500	-14.543
1.0750	-14.543
1.1000	-14.543
1.1250	-14.505
1.1500	-14.505
1.1750	-14.468
1.2000	-14.431
1.2250	-14.356
1.2500	-14.244
1.2750	-14.094
1.3000	-13.907
1.3250	-13.720
1.3500	-13.496
1.3750	-13.272
1.4000	-13.085
1.4250	-12.898
1.4500	-12.786
1.4750	-12.748
1.5000	-12.748
1.5250	-12.748
1.5500	-12.748
1.5750	-12.748
1.6000	-12.748
1.6250	-12.786
1.6500	-12.823
1.6750	-12.860
1.7000	-12.973
1.7250	-13.122
1.7500	-13.272
1.7750	-13.459
1.8000	-13.646
1.8250	-13.832
1.8500	-14.019
1.8750	-14.169
1.9000	-14.318
1.9250	-14.393
1.9500	-14.468
1.9750	-14.505
2.0000	-14.505
2.0250	-14.505
2.0500	-14.468
2.0750	-14.468
2.1000	-14.468
2.1250	-14.468
2.1500	-14.393
2.1750	-14.318
2.2000	-14.206
2.2250	-14.057
2.2500	-13.870
2.2750	-13.646
2.3000	-13.459
2.3250	-13.234
2.3500	-13.047
2.3750	-12.898
2.4000	-12.786
2.4250	-12.748
2.4500	-12.711
2.4750	-12.748
2.5000	-12.748
2.5250	-12.748
2.5500	-12.748
2.5750	-12.786
2.6000	-12.823
2.6250	-12.898
2.6500	-13.010
2.6750	-13.160
2.7000	-13.309
2.7250	-13.496
2.7500	-13.683
2.7750	-13.870
2.8000	-14.019
2.8250	-14.169
2.8500	-14.318
2.8750	-14.393
2.9000	-14.468
2.9250	-14.505
2.9500	-14.505
2.9750	-14.505
3.0000	-14.505
3.0250	-14.468
3.0500	-14.468
3.0750	-14.431
3.1000	-14.393
3.1250	-14.318
3.1500	-14.206
3.1750	-14.057
3.2000	-13.870
3.2250	-13.646
3.2500	-13.421
3.2750	-13.197
3.3000	-13.010
3.3250	-12.860
3.3500	-12.786
3.3750	-12.711
3.4000	-12.711
3.4250	-12.711
3.4500	-12.711
3.4750	-12.748
3.5000	-12.748
