#Angular Position. Run #1
#Time ( s )	Angular Position ( rad )
8.2750	-0.181
8.3000	-0.148
8.3250	-0.113
8.3500	-0.079
8.3750	-0.044
8.4000	-0.008
8.4250	0.027
8.4500	0.061
8.4750	0.096
8.5000	0.129
8.5250	0.162
8.5500	0.192
8.5750	0.220
8.6000	0.245
8.6250	0.270
8.6500	0.292
8.6750	0.311
8.7000	0.327
8.7250	0.341
8.7500	0.350
8.7750	0.358
8.8000	0.363
8.8250	0.364
8.8500	0.363
8.8750	0.358
8.9000	0.350
8.9250	0.339
8.9500	0.327
8.9750	0.313
9.0000	0.294
9.0250	0.275
9.0500	0.253
9.0750	0.229
9.1000	0.204
9.1250	0.178
9.1500	0.151
9.1750	0.123
9.2000	0.094
9.2250	0.066
9.2500	0.036
9.2750	0.008
9.3000	-0.020
9.3250	-0.049
9.3500	-0.075
9.3750	-0.101
9.4000	-0.126
9.4250	-0.148
9.4500	-0.170
9.4750	-0.188
9.5000	-0.206
9.5250	-0.220
9.5500	-0.234
9.5750	-0.245
9.6000	-0.253
9.6250	-0.258
9.6500	-0.262
9.6750	-0.262
9.7000	-0.262
9.7250	-0.258
9.7500	-0.251
9.7750	-0.243
9.8000	-0.232
9.8250	-0.220
9.8500	-0.204
9.8750	-0.188
9.9000	-0.170
9.9250	-0.151
9.9500	-0.129
9.9750	-0.107
10.0000	-0.085
10.0250	-0.061
10.0500	-0.038
10.0750	-0.014
10.1000	0.009
10.1250	0.033
10.1500	0.057
10.1750	0.080
10.2000	0.102
10.2250	0.123
10.2500	0.143
10.2750	0.160
10.3000	0.178
10.3250	0.193
10.3500	0.206
10.3750	0.218
10.4000	0.228
10.4250	0.236
10.4500	0.240
10.4750	0.245
10.5000	0.245
10.5250	0.245
10.5500	0.243
10.5750	0.239
10.6000	0.232
10.6250	0.225
10.6500	0.214
10.6750	0.203
10.7000	0.190
10.7250	0.176
10.7500	0.160
10.7750	0.145
10.8000	0.127
10.8250	0.108
10.8500	0.091
10.8750	0.072
10.9000	0.052
10.9250	0.033
10.9500	0.014
10.9750	-0.005
11.0000	-0.022
11.0250	-0.039
11.0500	-0.057
11.0750	-0.072
11.1000	-0.088
11.1250	-0.101
11.1500	-0.115
11.1750	-0.126
11.2000	-0.135
11.2250	-0.145
11.2500	-0.151
11.2750	-0.156
11.3000	-0.159
11.3250	-0.162
11.3500	-0.162
11.3750	-0.162
11.4000	-0.159
11.4250	-0.154
11.4500	-0.149
11.4750	-0.141
11.5000	-0.132
11.5250	-0.123
11.5500	-0.113
11.5750	-0.101
11.6000	-0.088
11.6250	-0.074
11.6500	-0.060
11.6750	-0.046
11.7000	-0.031
11.7250	-0.016
11.7500	0.000
11.7750	0.014
11.8000	0.030
11.8250	0.044
11.8500	0.058
11.8750	0.072
11.9000	0.086
11.9250	0.097
11.9500	0.108
11.9750	0.119
12.0000	0.127
12.0250	0.137
12.0500	0.143
12.0750	0.148
12.1000	0.151
12.1250	0.154
12.1500	0.156
12.1750	0.156
12.2000	0.156
12.2250	0.152
12.2500	0.149
12.2750	0.145
12.3000	0.140
12.3250	0.134
12.3500	0.126
12.3750	0.118
12.4000	0.108
12.4250	0.101
12.4500	0.090
12.4750	0.080
12.5000	0.069
12.5250	0.058
12.5500	0.047
12.5750	0.036
12.6000	0.025
12.6250	0.014
12.6500	0.005
12.6750	-0.006
12.7000	-0.016
12.7250	-0.025
12.7500	-0.035
12.7750	-0.042
12.8000	-0.050
12.8250	-0.057
12.8500	-0.063
12.8750	-0.068
12.9000	-0.071
12.9250	-0.075
12.9500	-0.077
12.9750	-0.079
13.0000	-0.079
13.0250	-0.079
13.0500	-0.077
13.0750	-0.075
13.1000	-0.072
13.1250	-0.069
13.1500	-0.064
13.1750	-0.060
13.2000	-0.055
13.2250	-0.049
13.2500	-0.042
13.2750	-0.035
13.3000	-0.028
13.3250	-0.020
13.3500	-0.013
13.3750	-0.006
13.4000	0.002
13.4250	0.009
13.4500	0.017
13.4750	0.025
13.5000	0.031
13.5250	0.038
13.5500	0.046
13.5750	0.050
13.6000	0.057
13.6250	0.061
13.6500	0.066
13.6750	0.069
13.7000	0.072
13.7250	0.075
13.7500	0.077
13.7750	0.077
13.8000	0.079
13.8250	0.079
13.8500	0.077
13.8750	0.077
13.9000	0.075
13.9250	0.074
13.9500	0.071
13.9750	0.069
14.0000	0.066
14.0250	0.063
14.0500	0.060
14.0750	0.057
14.1000	0.053
14.1250	0.050
14.1500	0.046
14.1750	0.042
14.2000	0.038
14.2250	0.035
14.2500	0.030
14.2750	0.027
14.3000	0.024
14.3250	0.019
14.3500	0.016
14.3750	0.013
14.4000	0.009
14.4250	0.006
14.4500	0.005
14.4750	0.002
14.5000	0.000
14.5250	-0.002
14.5500	-0.003
14.5750	-0.005
14.6000	-0.006
14.6250	-0.006
14.6500	-0.006
14.6750	-0.006
14.7000	-0.006
14.7250	-0.006
14.7500	-0.006
14.7750	-0.005
14.8000	-0.005
14.8250	-0.003
14.8500	-0.003
14.8750	-0.002
14.9000	-0.002
14.9250	0.000
14.9500	0.000
14.9750	0.002
15.0000	0.003
15.0250	0.003
15.0500	0.005
15.0750	0.005
15.1000	0.006
15.1250	0.006
15.1500	0.008
15.1750	0.008
15.2000	0.009
15.2250	0.009
15.2500	0.011
15.2750	0.011
15.3000	0.011
15.3250	0.011
15.3500	0.011
15.3750	0.011
15.4000	0.011
15.4250	0.011
15.4500	0.011
15.4750	0.011
15.5000	0.011
15.5250	0.011
15.5500	0.011
15.5750	0.011
15.6000	0.011
15.6250	0.011
15.6500	0.011
15.6750	0.011
15.7000	0.011
15.7250	0.011
15.7500	0.011
15.7750	0.011
15.8000	0.011
15.8250	0.011
15.8500	0.011
15.8750	0.011
15.9000	0.011
15.9250	0.011
15.9500	0.011
15.9750	0.011
16.0000	0.011
16.0250	0.011
16.0500	0.011
16.0750	0.011
16.1000	0.011
16.1250	0.013
16.1500	0.013
16.1750	0.013
16.2000	0.013
16.2250	0.013
16.2500	0.013
16.2750	0.013
16.3000	0.013
16.3250	0.013
16.3500	0.013
16.3750	0.013
16.4000	0.013
16.4250	0.013
16.4500	0.013
16.4750	0.013
16.5000	0.013
16.5250	0.013
16.5500	0.013
16.5750	0.013
16.6000	0.013
16.6250	0.013
16.6500	0.013
16.6750	0.013
16.7000	0.013
16.7250	0.013
16.7500	0.013
16.7750	0.013
16.8000	0.013
16.8250	0.013
16.8500	0.013
16.8750	0.013
16.9000	0.013
16.9250	0.013
16.9500	0.013
16.9750	0.013
17.0000	0.013
17.0250	0.013
17.0500	0.013
17.0750	0.013
17.1000	0.013
17.1250	0.013
17.1500	0.013
17.1750	0.013
17.2000	0.013
17.2250	0.013
17.2500	0.013
17.2750	0.013
17.3000	0.013
17.3250	0.014
17.3500	0.014
17.3750	0.014
17.4000	0.014
17.4250	0.014
17.4500	0.014
17.4750	0.014
17.5000	0.014
17.5250	0.014
17.5500	0.014
17.5750	0.014
17.6000	0.014
17.6250	0.014
17.6500	0.014
17.6750	0.014
17.7000	0.016
17.7250	0.016
17.7500	0.016
17.7750	0.016
17.8000	0.016
17.8250	0.016
17.8500	0.016
17.8750	0.016
17.9000	0.016
17.9250	0.016
17.9500	0.016
17.9750	0.016
18.0000	0.016
18.0250	0.016
18.0500	0.016
18.0750	0.016
