#Angular Position. Run #6
#Time ( s )	Angular Position ( rad )
0.0000	-1.728
0.0250	-1.766
0.0500	-1.805
0.0750	-1.836
0.1000	-1.858
0.1250	-1.871
0.1500	-1.885
0.1750	-1.912
0.2000	-1.942
0.2250	-1.971
0.2500	-1.998
0.2750	-2.023
0.3000	-2.048
0.3250	-2.075
0.3500	-2.102
0.3750	-2.125
0.4000	-2.149
0.4250	-2.171
0.4500	-2.193
0.4750	-2.212
0.5000	-2.227
0.5250	-2.240
0.5500	-2.251
0.5750	-2.259
0.6000	-2.264
0.6250	-2.265
0.6500	-2.268
0.6750	-2.273
0.7000	-2.276
0.7250	-2.281
0.7500	-2.284
0.7750	-2.289
0.8000	-2.295
0.8250	-2.301
0.8500	-2.308
0.8750	-2.312
0.9000	-2.315
0.9250	-2.320
0.9500	-2.323
0.9750	-2.323
1.0000	-2.322
1.0250	-2.317
1.0500	-2.312
1.0750	-2.308
1.1000	-2.304
1.1250	-2.300
1.1500	-2.295
1.1750	-2.293
1.2000	-2.295
1.2250	-2.311
1.2500	-2.336
1.2750	-2.350
1.3000	-2.350
1.3250	-2.358
1.3500	-2.367
1.3750	-2.370
1.4000	-2.373
1.4250	-2.373
1.4500	-2.370
1.4750	-2.364
1.5000	-2.358
1.5250	-2.351
1.5500	-2.344
1.5750	-2.336
1.6000	-2.328
1.6250	-2.318
1.6500	-2.312
1.6750	-2.303
1.7000	-2.295
1.7250	-2.287
1.7500	-2.281
1.7750	-2.271
1.8000	-2.256
1.8250	-2.226
1.8500	-2.176
1.8750	-2.108
1.9000	-2.023
1.9250	-1.920
1.9500	-1.800
1.9750	-1.665
2.0000	-1.516
2.0250	-1.352
2.0500	-1.181
2.0750	-0.997
2.1000	-0.806
2.1250	-0.606
2.1500	-0.404
2.1750	-0.196
2.2000	0.011
2.2250	0.218
2.2500	0.423
2.2750	0.625
2.3000	0.822
2.3250	1.010
2.3500	1.191
2.3750	1.362
2.4000	1.521
2.4250	1.667
2.4500	1.799
2.4750	1.915
2.5000	2.015
2.5250	2.099
2.5500	2.163
2.5750	2.209
2.6000	2.235
2.6250	2.243
2.6500	2.231
2.6750	2.199
2.7000	2.149
2.7250	2.080
2.7500	1.993
2.7750	1.891
2.8000	1.772
2.8250	1.638
2.8500	1.491
2.8750	1.332
2.9000	1.162
2.9250	0.983
2.9500	0.796
2.9750	0.603
3.0000	0.407
3.0250	0.206
3.0500	0.003
3.0750	-0.198
3.1000	-0.397
3.1250	-0.594
3.1500	-0.784
3.1750	-0.968
3.2000	-1.142
3.2250	-1.307
3.2500	-1.459
3.2750	-1.601
3.3000	-1.726
3.3250	-1.838
3.3500	-1.934
3.3750	-2.011
3.4000	-2.072
3.4250	-2.113
3.4500	-2.136
3.4750	-2.143
3.5000	-2.127
3.5250	-2.094
3.5500	-2.042
3.5750	-1.974
3.6000	-1.888
3.6250	-1.786
3.6500	-1.668
3.6750	-1.538
3.7000	-1.392
3.7250	-1.236
3.7500	-1.068
3.7750	-0.894
3.8000	-0.710
3.8250	-0.522
3.8500	-0.327
3.8750	-0.132
3.9000	0.066
3.9250	0.262
3.9500	0.456
3.9750	0.646
4.0000	0.829
4.0250	1.007
4.0500	1.175
4.0750	1.334
4.1000	1.481
4.1250	1.616
4.1500	1.739
4.1750	1.846
4.2000	1.935
4.2250	2.011
4.2500	2.067
4.2750	2.106
4.3000	2.127
4.3250	2.130
4.3500	2.114
4.3750	2.080
4.4000	2.029
4.4250	1.960
4.4500	1.874
4.4750	1.773
4.5000	1.657
4.5250	1.528
4.5500	1.387
4.5750	1.233
4.6000	1.071
4.6250	0.900
4.6500	0.721
4.6750	0.537
4.7000	0.350
4.7250	0.159
4.7500	-0.033
4.7750	-0.223
4.8000	-0.413
4.8250	-0.597
4.8500	-0.776
4.8750	-0.949
4.9000	-1.112
4.9250	-1.266
4.9500	-1.409
4.9750	-1.541
5.0000	-1.659
5.0250	-1.761
5.0500	-1.847
5.0750	-1.918
5.1000	-1.973
5.1250	-2.009
5.1500	-2.028
5.1750	-2.029
5.2000	-2.012
5.2250	-1.978
5.2500	-1.926
5.2750	-1.858
5.3000	-1.773
5.3250	-1.674
5.3500	-1.561
5.3750	-1.434
5.4000	-1.294
5.4250	-1.145
5.4500	-0.986
5.4750	-0.818
5.5000	-0.642
5.5250	-0.463
5.5500	-0.280
5.5750	-0.094
5.6000	0.093
5.6250	0.278
5.6500	0.462
5.6750	0.641
5.7000	0.814
5.7250	0.980
5.7500	1.139
5.7750	1.286
5.8000	1.425
5.8250	1.550
5.8500	1.663
5.8750	1.762
5.9000	1.846
5.9250	1.915
5.9500	1.965
5.9750	2.000
6.0000	2.017
6.0250	2.018
6.0500	2.003
6.0750	1.968
6.1000	1.916
6.1250	1.850
6.1500	1.767
6.1750	1.671
6.2000	1.560
6.2250	1.436
6.2500	1.301
6.2750	1.155
6.3000	1.001
6.3250	0.837
6.3500	0.669
6.3750	0.495
6.4000	0.316
