#Linear Position. Run #5
#Time ( s )	Linear Position ( m )
7.9250	-12.225
7.9500	-12.674
7.9750	-13.160
8.0000	-13.646
8.0250	-14.132
8.0500	-14.468
8.0750	-14.730
8.1000	-14.804
8.1250	-14.767
8.1500	-14.543
8.1750	-14.244
8.2000	-13.870
8.2250	-13.384
8.2500	-12.898
8.2750	-12.449
8.3000	-12.038
8.3250	-11.702
8.3500	-11.515
8.3750	-11.477
8.4000	-11.627
8.4250	-11.926
8.4500	-12.300
8.4750	-12.748
8.5000	-13.272
8.5250	-13.795
8.5500	-14.244
8.5750	-14.580
8.6000	-14.804
8.6250	-14.842
8.6500	-14.730
8.6750	-14.468
8.7000	-14.132
8.7250	-13.720
8.7500	-13.234
8.7750	-12.748
8.8000	-12.300
8.8250	-11.926
8.8500	-11.664
8.8750	-11.552
8.9000	-11.552
8.9250	-11.702
8.9500	-12.001
8.9750	-12.412
9.0000	-12.860
9.0250	-13.346
9.0500	-13.832
9.0750	-14.244
9.1000	-14.580
9.1250	-14.767
9.1500	-14.804
9.1750	-14.655
9.2000	-14.431
9.2250	-14.094
9.2500	-13.683
9.2750	-13.197
9.3000	-12.748
9.3250	-12.300
9.3500	-11.926
9.3750	-11.664
9.4000	-11.515
9.4250	-11.552
9.4500	-11.739
9.4750	-12.038
9.5000	-12.412
9.5250	-12.898
9.5500	-13.384
9.5750	-13.870
9.6000	-14.318
9.6250	-14.655
9.6500	-14.804
9.6750	-14.842
9.7000	-14.655
9.7250	-14.393
9.7500	-14.019
9.7750	-13.571
9.8000	-13.047
9.8250	-12.561
9.8500	-12.188
9.8750	-11.851
9.9000	-11.589
9.9250	-11.477
9.9500	-11.589
9.9750	-11.814
10.0000	-12.150
10.0250	-12.599
10.0500	-13.085
10.0750	-13.571
10.1000	-14.057
10.1250	-14.468
10.1500	-14.730
10.1750	-14.842
10.2000	-14.804
10.2250	-14.618
10.2500	-14.281
10.2750	-13.870
10.3000	-13.459
10.3250	-12.973
10.3500	-12.487
10.3750	-12.038
10.4000	-11.739
10.4250	-11.515
10.4500	-11.477
10.4750	-11.589
10.5000	-11.851
10.5250	-12.225
10.5500	-12.674
10.5750	-13.160
10.6000	-13.646
10.6250	-14.094
10.6500	-14.468
10.6750	-14.730
10.7000	-14.804
10.7250	-14.767
10.7500	-14.580
10.7750	-14.281
10.8000	-13.832
10.8250	-13.384
10.8500	-12.898
10.8750	-12.412
10.9000	-11.963
10.9250	-11.664
10.9500	-11.477
10.9750	-11.440
11.0000	-11.589
11.0250	-11.851
11.0500	-12.225
11.0750	-12.711
11.1000	-13.234
11.1250	-13.758
11.1500	-14.244
11.1750	-14.618
11.2000	-14.879
11.2250	-14.917
11.2500	-14.804
11.2750	-14.580
11.3000	-14.206
11.3250	-13.758
11.3500	-13.272
11.3750	-12.786
11.4000	-12.337
11.4250	-11.926
11.4500	-11.627
11.4750	-11.477
11.5000	-11.477
11.5250	-11.627
11.5500	-11.926
11.5750	-12.337
11.6000	-12.823
11.6250	-13.309
11.6500	-13.832
11.6750	-14.244
11.7000	-14.580
11.7250	-14.767
11.7500	-14.804
11.7750	-14.692
11.8000	-14.468
11.8250	-14.132
11.8500	-13.720
11.8750	-13.234
11.9000	-12.748
11.9250	-12.300
11.9500	-11.926
11.9750	-11.627
12.0000	-11.477
12.0250	-11.477
12.0500	-11.664
12.0750	-11.963
12.1000	-12.374
12.1250	-12.860
12.1500	-13.421
12.1750	-13.907
12.2000	-14.356
12.2250	-14.692
12.2500	-14.879
12.2750	-14.879
12.3000	-14.730
12.3250	-14.431
12.3500	-14.057
12.3750	-13.608
12.4000	-13.122
12.4250	-12.674
12.4500	-12.225
12.4750	-11.851
12.5000	-11.589
12.5250	-11.515
12.5500	-11.589
12.5750	-11.776
12.6000	-12.113
12.6250	-12.524
12.6500	-12.973
12.6750	-13.459
12.7000	-13.907
12.7250	-14.318
12.7500	-14.618
12.7750	-14.767
12.8000	-14.804
12.8250	-14.655
12.8500	-14.356
12.8750	-13.982
12.9000	-13.571
12.9250	-13.085
12.9500	-12.599
12.9750	-12.150
13.0000	-11.776
13.0250	-11.552
13.0500	-11.515
13.0750	-11.589
13.1000	-11.814
13.1250	-12.150
13.1500	-12.599
13.1750	-13.047
13.2000	-13.533
13.2250	-13.982
13.2500	-14.393
13.2750	-14.655
