#Angular Position. Run #3
#Time ( s )	Angular Position ( rad )
0.0000	0.025
0.0250	0.025
0.0500	0.025
0.0750	0.025
0.1000	0.025
0.1250	0.025
0.1500	0.025
0.1750	0.025
0.2000	0.025
0.2250	0.025
0.2500	0.025
0.2750	0.024
0.3000	0.019
0.3250	0.013
0.3500	0.005
0.3750	-0.008
0.4000	-0.019
0.4250	-0.030
0.4500	-0.039
0.4750	-0.049
0.5000	-0.063
0.5250	-0.083
0.5500	-0.121
0.5750	-0.190
0.6000	-0.298
0.6250	-0.443
0.6500	-0.630
0.6750	-0.891
0.7000	-1.189
0.7250	-1.470
0.7500	-1.729
0.7750	-1.963
0.8000	-2.172
0.8250	-2.356
0.8500	-2.498
0.8750	-2.542
0.9000	-2.482
0.9250	-2.355
0.9500	-2.204
0.9750	-2.039
1.0000	-1.863
1.0250	-1.678
1.0500	-1.484
1.0750	-1.285
1.1000	-1.082
1.1250	-0.881
1.1500	-0.677
1.1750	-0.476
1.2000	-0.278
1.2250	-0.085
1.2500	0.102
1.2750	0.281
1.3000	0.449
1.3250	0.609
1.3500	0.759
1.3750	0.895
1.4000	1.021
1.4250	1.133
1.4500	1.232
1.4750	1.316
1.5000	1.385
1.5250	1.442
1.5500	1.484
1.5750	1.513
1.6000	1.527
1.6250	1.528
1.6500	1.517
1.6750	1.494
1.7000	1.459
1.7250	1.414
1.7500	1.360
1.7750	1.297
1.8000	1.227
1.8250	1.150
1.8500	1.067
1.8750	0.977
1.9000	0.884
1.9250	0.789
1.9500	0.690
1.9750	0.589
2.0000	0.487
2.0250	0.386
2.0500	0.286
2.0750	0.185
2.1000	0.090
2.1250	-0.003
2.1500	-0.091
2.1750	-0.176
2.2000	-0.254
2.2250	-0.328
2.2500	-0.396
2.2750	-0.457
2.3000	-0.512
2.3250	-0.561
2.3500	-0.605
2.3750	-0.638
2.4000	-0.668
2.4250	-0.688
2.4500	-0.704
2.4750	-0.712
2.5000	-0.713
2.5250	-0.708
2.5500	-0.697
2.5750	-0.682
2.6000	-0.661
2.6250	-0.633
2.6500	-0.603
2.6750	-0.569
2.7000	-0.529
2.7250	-0.487
2.7500	-0.443
2.7750	-0.397
2.8000	-0.349
2.8250	-0.300
2.8500	-0.250
2.8750	-0.198
2.9000	-0.148
2.9250	-0.097
