#Angular Position. Run #2
#Time ( s )	Angular Position ( rad )
8.3250	0.097
8.3500	0.097
8.3750	0.097
8.4000	0.097
8.4250	0.094
8.4500	0.093
8.4750	0.091
8.5000	0.088
8.5250	0.085
8.5500	0.080
8.5750	0.077
8.6000	0.074
8.6250	0.069
8.6500	0.064
8.6750	0.060
8.7000	0.055
8.7250	0.050
8.7500	0.047
8.7750	0.041
8.8000	0.036
8.8250	0.031
8.8500	0.028
8.8750	0.024
8.9000	0.019
8.9250	0.014
8.9500	0.011
8.9750	0.006
9.0000	0.003
9.0250	0.000
9.0500	-0.003
9.0750	-0.006
9.1000	-0.008
9.1250	-0.009
9.1500	-0.011
9.1750	-0.011
9.2000	-0.013
9.2250	-0.013
9.2500	-0.013
9.2750	-0.013
9.3000	-0.011
9.3250	-0.009
9.3500	-0.008
9.3750	-0.008
9.4000	-0.005
9.4250	-0.003
9.4500	-0.002
9.4750	0.002
9.5000	0.005
9.5250	0.008
9.5500	0.011
9.5750	0.013
9.6000	0.016
9.6250	0.019
9.6500	0.022
9.6750	0.024
9.7000	0.027
9.7250	0.030
9.7500	0.031
9.7750	0.035
9.8000	0.036
9.8250	0.038
9.8500	0.039
9.8750	0.041
9.9000	0.042
9.9250	0.042
9.9500	0.042
9.9750	0.042
10.0000	0.042
10.0250	0.042
10.0500	0.042
10.0750	0.042
10.1000	0.042
10.1250	0.042
10.1500	0.041
10.1750	0.041
10.2000	0.041
10.2250	0.039
10.2500	0.038
10.2750	0.038
10.3000	0.036
10.3250	0.036
10.3500	0.035
10.3750	0.035
10.4000	0.033
10.4250	0.033
10.4500	0.031
10.4750	0.031
10.5000	0.030
10.5250	0.030
10.5500	0.028
10.5750	0.028
10.6000	0.028
10.6250	0.027
10.6500	0.027
10.6750	0.025
10.7000	0.025
10.7250	0.025
10.7500	0.024
10.7750	0.024
10.8000	0.024
10.8250	0.024
10.8500	0.024
10.8750	0.024
10.9000	0.024
10.9250	0.024
10.9500	0.024
10.9750	0.024
11.0000	0.024
11.0250	0.024
11.0500	0.024
11.0750	0.024
11.1000	0.024
11.1250	0.024
11.1500	0.024
11.1750	0.024
11.2000	0.024
11.2250	0.024
11.2500	0.024
11.2750	0.024
11.3000	0.024
11.3250	0.024
11.3500	0.024
11.3750	0.024
11.4000	0.024
11.4250	0.024
11.4500	0.024
11.4750	0.024
11.5000	0.024
11.5250	0.024
11.5500	0.024
11.5750	0.024
11.6000	0.024
11.6250	0.024
11.6500	0.024
11.6750	0.024
11.7000	0.024
11.7250	0.024
11.7500	0.024
11.7750	0.024
11.8000	0.024
11.8250	0.024
11.8500	0.024
11.8750	0.024
11.9000	0.024
11.9250	0.024
11.9500	0.024
11.9750	0.024
12.0000	0.024
12.0250	0.024
12.0500	0.024
12.0750	0.024
12.1000	0.024
12.1250	0.024
12.1500	0.024
12.1750	0.024
12.2000	0.024
12.2250	0.024
12.2500	0.024
12.2750	0.024
12.3000	0.024
12.3250	0.024
12.3500	0.024
12.3750	0.024
12.4000	0.024
12.4250	0.024
12.4500	0.024
12.4750	0.024
12.5000	0.024
12.5250	0.024
12.5500	0.024
12.5750	0.024
12.6000	0.024
12.6250	0.024
