#Angular Position. Run #2
#Time ( s )	Angular Position ( rad )
0.0000	-1.425
0.0250	-1.426
0.0500	-1.428
0.0750	-1.429
0.1000	-1.429
0.1250	-1.429
0.1500	-1.429
0.1750	-1.429
0.2000	-1.429
0.2250	-1.431
0.2500	-1.434
0.2750	-1.439
0.3000	-1.445
0.3250	-1.450
0.3500	-1.455
0.3750	-1.456
0.4000	-1.459
0.4250	-1.462
0.4500	-1.462
0.4750	-1.462
0.5000	-1.462
0.5250	-1.462
0.5500	-1.462
0.5750	-1.462
0.6000	-1.464
0.6250	-1.467
0.6500	-1.469
0.6750	-1.470
0.7000	-1.472
0.7250	-1.473
0.7500	-1.475
0.7750	-1.475
0.8000	-1.475
0.8250	-1.475
0.8500	-1.477
0.8750	-1.480
0.9000	-1.483
0.9250	-1.488
0.9500	-1.491
0.9750	-1.494
1.0000	-1.495
1.0250	-1.497
1.0500	-1.497
1.0750	-1.495
1.1000	-1.495
1.1250	-1.495
1.1500	-1.495
1.1750	-1.495
1.2000	-1.495
1.2250	-1.499
1.2500	-1.500
1.2750	-1.500
1.3000	-1.502
1.3250	-1.502
1.3500	-1.505
1.3750	-1.505
1.4000	-1.505
1.4250	-1.503
1.4500	-1.503
1.4750	-1.503
1.5000	-1.505
1.5250	-1.506
1.5500	-1.510
1.5750	-1.513
1.6000	-1.517
1.6250	-1.524
1.6500	-1.532
1.6750	-1.541
1.7000	-1.550
1.7250	-1.560
1.7500	-1.569
1.7750	-1.576
1.8000	-1.582
1.8250	-1.583
1.8500	-1.585
1.8750	-1.585
1.9000	-1.583
1.9250	-1.583
1.9500	-1.583
1.9750	-1.585
2.0000	-1.588
2.0250	-1.593
2.0500	-1.596
2.0750	-1.601
2.1000	-1.605
2.1250	-1.608
2.1500	-1.608
2.1750	-1.610
2.2000	-1.610
2.2250	-1.610
2.2500	-1.610
2.2750	-1.610
2.3000	-1.612
2.3250	-1.612
2.3500	-1.613
2.3750	-1.613
2.4000	-1.613
2.4250	-1.613
2.4500	-1.613
2.4750	-1.613
2.5000	-1.613
2.5250	-1.612
2.5500	-1.612
2.5750	-1.612
2.6000	-1.612
2.6250	-1.613
2.6500	-1.613
2.6750	-1.613
2.7000	-1.610
2.7250	-1.608
2.7500	-1.607
2.7750	-1.607
2.8000	-1.604
2.8250	-1.601
2.8500	-1.598
2.8750	-1.591
2.9000	-1.585
2.9250	-1.577
2.9500	-1.571
2.9750	-1.566
3.0000	-1.560
3.0250	-1.557
3.0500	-1.554
3.0750	-1.550
3.1000	-1.549
3.1250	-1.546
3.1500	-1.543
3.1750	-1.539
3.2000	-1.538
3.2250	-1.539
3.2500	-1.544
3.2750	-1.550
3.3000	-1.555
3.3250	-1.561
3.3500	-1.566
3.3750	-1.572
3.4000	-1.579
3.4250	-1.587
3.4500	-1.594
3.4750	-1.605
3.5000	-1.618
3.5250	-1.630
3.5500	-1.643
3.5750	-1.652
3.6000	-1.662
3.6250	-1.670
3.6500	-1.673
3.6750	-1.674
3.7000	-1.673
3.7250	-1.670
3.7500	-1.667
3.7750	-1.665
3.8000	-1.660
3.8250	-1.657
3.8500	-1.651
3.8750	-1.646
3.9000	-1.640
3.9250	-1.634
3.9500	-1.626
3.9750	-1.615
4.0000	-1.607
