#Angular Position. Run #1
#Time ( s )	Angular Position ( rad )
0.0000	0.024
0.0250	0.024
0.0500	0.024
0.0750	0.024
0.1000	0.024
0.1250	0.024
0.1500	0.024
0.1750	0.024
0.2000	0.024
0.2250	0.024
0.2500	0.024
0.2750	0.024
0.3000	0.024
0.3250	0.009
0.3500	-0.055
0.3750	-0.185
0.4000	-0.350
0.4250	-0.517
0.4500	-0.675
0.4750	-0.829
0.5000	-0.974
0.5250	-1.109
0.5500	-1.235
0.5750	-1.349
0.6000	-1.451
0.6250	-1.539
0.6500	-1.615
0.6750	-1.674
0.7000	-1.718
0.7250	-1.748
0.7500	-1.762
0.7750	-1.761
0.8000	-1.744
0.8250	-1.712
0.8500	-1.665
0.8750	-1.604
0.9000	-1.530
0.9250	-1.442
0.9500	-1.345
0.9750	-1.235
1.0000	-1.114
1.0250	-0.986
1.0500	-0.850
1.0750	-0.707
1.1000	-0.559
1.1250	-0.407
1.1500	-0.251
1.1750	-0.096
1.2000	0.061
1.2250	0.217
1.2500	0.368
1.2750	0.515
1.3000	0.658
1.3250	0.796
1.3500	0.925
1.3750	1.046
1.4000	1.159
1.4250	1.260
1.4500	1.351
1.4750	1.429
1.5000	1.495
1.5250	1.549
1.5500	1.588
1.5750	1.615
1.6000	1.627
1.6250	1.627
1.6500	1.613
1.6750	1.585
1.7000	1.544
1.7250	1.492
1.7500	1.426
1.7750	1.349
1.8000	1.263
1.8250	1.167
1.8500	1.062
1.8750	0.949
1.9000	0.829
1.9250	0.704
1.9500	0.575
1.9750	0.440
2.0000	0.305
2.0250	0.167
2.0500	0.028
2.0750	-0.108
2.1000	-0.243
2.1250	-0.377
2.1500	-0.504
2.1750	-0.625
2.2000	-0.743
2.2250	-0.851
2.2500	-0.952
2.2750	-1.045
2.3000	-1.128
2.3250	-1.200
2.3500	-1.260
2.3750	-1.310
2.4000	-1.348
2.4250	-1.373
2.4500	-1.387
2.4750	-1.390
2.5000	-1.379
2.5250	-1.357
2.5500	-1.323
2.5750	-1.277
2.6000	-1.222
2.6250	-1.156
2.6500	-1.081
2.6750	-0.996
2.7000	-0.905
2.7250	-0.806
2.7500	-0.699
2.7750	-0.587
2.8000	-0.473
2.8250	-0.353
2.8500	-0.232
2.8750	-0.110
2.9000	0.014
2.9250	0.137
2.9500	0.256
2.9750	0.374
3.0000	0.489
3.0250	0.597
3.0500	0.701
3.0750	0.798
3.1000	0.889
3.1250	0.971
3.1500	1.046
3.1750	1.111
3.2000	1.166
3.2250	1.211
3.2500	1.246
3.2750	1.269
3.3000	1.283
3.3250	1.286
3.3500	1.280
3.3750	1.261
3.4000	1.233
3.4250	1.195
3.4500	1.148
3.4750	1.092
3.5000	1.027
3.5250	0.955
3.5500	0.875
3.5750	0.790
3.6000	0.697
3.6250	0.602
3.6500	0.501
3.6750	0.397
3.7000	0.292
3.7250	0.184
3.7500	0.075
3.7750	-0.031
3.8000	-0.138
3.8250	-0.242
3.8500	-0.342
3.8750	-0.441
3.9000	-0.534
3.9250	-0.620
3.9500	-0.702
3.9750	-0.776
4.0000	-0.845
4.0250	-0.905
4.0500	-0.955
4.0750	-0.997
4.1000	-1.032
4.1250	-1.056
4.1500	-1.070
4.1750	-1.076
4.2000	-1.073
4.2250	-1.059
4.2500	-1.038
4.2750	-1.007
4.3000	-0.968
4.3250	-0.919
4.3500	-0.864
4.3750	-0.801
4.4000	-0.734
4.4250	-0.658
4.4500	-0.580
4.4750	-0.493
4.5000	-0.405
4.5250	-0.316
4.5500	-0.221
4.5750	-0.126
4.6000	-0.030
4.6250	0.066
4.6500	0.160
4.6750	0.251
4.7000	0.341
4.7250	0.427
4.7500	0.511
4.7750	0.587
4.8000	0.660
4.8250	0.727
4.8500	0.787
4.8750	0.840
4.9000	0.888
4.9250	0.925
4.9500	0.957
4.9750	0.979
5.0000	0.993
