#Angular Position. Run #3
#Time ( s )	Angular Position ( rad )
0.0000	-1.238
0.0250	-1.238
0.0500	-1.238
0.0750	-1.239
0.1000	-1.243
0.1250	-1.244
0.1500	-1.244
0.1750	-1.246
0.2000	-1.246
0.2250	-1.247
0.2500	-1.247
0.2750	-1.247
0.3000	-1.247
0.3250	-1.249
0.3500	-1.250
0.3750	-1.252
0.4000	-1.253
0.4250	-1.255
0.4500	-1.257
0.4750	-1.258
0.5000	-1.261
0.5250	-1.261
0.5500	-1.261
0.5750	-1.261
0.6000	-1.261
0.6250	-1.260
0.6500	-1.258
0.6750	-1.257
0.7000	-1.257
0.7250	-1.257
0.7500	-1.258
0.7750	-1.260
0.8000	-1.261
0.8250	-1.263
0.8500	-1.263
0.8750	-1.264
0.9000	-1.264
0.9250	-1.257
0.9500	-1.241
0.9750	-1.217
1.0000	-1.183
1.0250	-1.140
1.0500	-1.089
1.0750	-1.032
1.1000	-0.968
1.1250	-0.898
1.1500	-0.823
1.1750	-0.743
1.2000	-0.660
1.2250	-0.575
1.2500	-0.489
1.2750	-0.401
1.3000	-0.313
1.3250	-0.225
1.3500	-0.138
1.3750	-0.052
1.4000	0.028
1.4250	0.107
1.4500	0.181
1.4750	0.250
1.5000	0.314
1.5250	0.372
1.5500	0.427
1.5750	0.476
1.6000	0.520
1.6250	0.558
1.6500	0.589
1.6750	0.614
1.7000	0.635
1.7250	0.647
1.7500	0.655
1.7750	0.658
1.8000	0.655
1.8250	0.647
1.8500	0.635
1.8750	0.617
1.9000	0.595
1.9250	0.570
1.9500	0.540
1.9750	0.509
2.0000	0.476
2.0250	0.438
2.0500	0.399
2.0750	0.358
2.1000	0.317
2.1250	0.275
2.1500	0.232
2.1750	0.190
2.2000	0.148
2.2250	0.107
2.2500	0.068
2.2750	0.028
2.3000	-0.008
2.3250	-0.044
2.3500	-0.077
2.3750	-0.107
2.4000	-0.137
2.4250	-0.162
2.4500	-0.184
2.4750	-0.204
2.5000	-0.221
2.5250	-0.236
2.5500	-0.248
2.5750	-0.258
2.6000	-0.264
2.6250	-0.265
2.6500	-0.267
2.6750	-0.265
2.7000	-0.262
2.7250	-0.256
2.7500	-0.247
2.7750	-0.237
2.8000	-0.225
2.8250	-0.212
2.8500	-0.196
2.8750	-0.181
2.9000	-0.163
2.9250	-0.145
2.9500	-0.126
2.9750	-0.107
3.0000	-0.086
3.0250	-0.068
3.0500	-0.047
3.0750	-0.028
3.1000	-0.009
3.1250	0.009
3.1500	0.027
3.1750	0.044
3.2000	0.060
3.2250	0.074
3.2500	0.088
3.2750	0.101
3.3000	0.112
3.3250	0.121
3.3500	0.130
3.3750	0.137
3.4000	0.143
3.4250	0.148
3.4500	0.151
3.4750	0.152
3.5000	0.152
3.5250	0.152
3.5500	0.151
3.5750	0.149
3.6000	0.145
3.6250	0.140
3.6500	0.135
3.6750	0.129
3.7000	0.123
3.7250	0.115
3.7500	0.107
3.7750	0.099
3.8000	0.091
3.8250	0.083
3.8500	0.074
3.8750	0.066
3.9000	0.058
3.9250	0.050
3.9500	0.042
3.9750	0.033
4.0000	0.027
4.0250	0.019
4.0500	0.013
4.0750	0.006
4.1000	0.000
4.1250	-0.005
4.1500	-0.008
4.1750	-0.013
4.2000	-0.016
4.2250	-0.019
4.2500	-0.020
4.2750	-0.024
4.3000	-0.025
4.3250	-0.025
4.3500	-0.025
4.3750	-0.025
4.4000	-0.025
4.4250	-0.025
4.4500	-0.024
4.4750	-0.020
4.5000	-0.019
4.5250	-0.019
4.5500	-0.016
4.5750	-0.013
4.6000	-0.011
4.6250	-0.008
4.6500	-0.006
4.6750	-0.003
4.7000	-0.002
4.7250	0.002
4.7500	0.005
4.7750	0.006
4.8000	0.009
4.8250	0.013
4.8500	0.014
4.8750	0.017
4.9000	0.019
4.9250	0.020
4.9500	0.024
4.9750	0.024
5.0000	0.025
5.0250	0.027
5.0500	0.028
5.0750	0.030
5.1000	0.030
5.1250	0.030
5.1500	0.031
5.1750	0.031
5.2000	0.031
5.2250	0.031
5.2500	0.031
5.2750	0.031
5.3000	0.031
5.3250	0.031
5.3500	0.031
5.3750	0.031
5.4000	0.031
5.4250	0.030
5.4500	0.030
5.4750	0.030
5.5000	0.030
5.5250	0.030
5.5500	0.030
5.5750	0.030
5.6000	0.030
5.6250	0.030
5.6500	0.030
5.6750	0.030
5.7000	0.030
5.7250	0.030
5.7500	0.030
5.7750	0.030
5.8000	0.030
5.8250	0.030
5.8500	0.030
5.8750	0.030
5.9000	0.030
5.9250	0.030
5.9500	0.030
5.9750	0.030
6.0000	0.030
6.0250	0.030
6.0500	0.030
6.0750	0.030
6.1000	0.030
6.1250	0.030
6.1500	0.030
6.1750	0.030
6.2000	0.030
6.2250	0.030
6.2500	0.030
6.2750	0.030
6.3000	0.030
6.3250	0.030
6.3500	0.030
6.3750	0.030
6.4000	0.028
6.4250	0.028
6.4500	0.028
6.4750	0.028
6.5000	0.028
6.5250	0.028
6.5500	0.028
6.5750	0.028
6.6000	0.028
6.6250	0.028
6.6500	0.028
6.6750	0.028
6.7000	0.028
6.7250	0.028
6.7500	0.028
6.7750	0.028
6.8000	0.028
6.8250	0.028
6.8500	0.028
6.8750	0.028
6.9000	0.028
6.9250	0.028
6.9500	0.028
6.9750	0.028
7.0000	0.028
7.0250	0.028
7.0500	0.028
7.0750	0.028
7.1000	0.028
7.1250	0.028
7.1500	0.028
7.1750	0.028
7.2000	0.028
7.2250	0.027
7.2500	0.027
7.2750	0.027
7.3000	0.027
7.3250	0.027
7.3500	0.027
7.3750	0.027
7.4000	0.027
7.4250	0.027
7.4500	0.027
7.4750	0.027
7.5000	0.027
7.5250	0.027
7.5500	0.027
7.5750	0.027
7.6000	0.027
7.6250	0.027
7.6500	0.027
7.6750	0.027
7.7000	0.027
7.7250	0.027
7.7500	0.027
7.7750	0.027
7.8000	0.027
7.8250	0.027
7.8500	0.027
7.8750	0.027
7.9000	0.027
7.9250	0.027
7.9500	0.027
7.9750	0.027
8.0000	0.027
8.0250	0.027
8.0500	0.027
8.0750	0.027
8.1000	0.027
8.1250	0.027
8.1500	0.027
8.1750	0.027
8.2000	0.027
8.2250	0.027
8.2500	0.027
8.2750	0.027
8.3000	0.027
8.3250	0.027
8.3500	0.027
8.3750	0.027
8.4000	0.027
8.4250	0.027
8.4500	0.027
8.4750	0.027
8.5000	0.027
8.5250	0.027
8.5500	0.027
8.5750	0.027
8.6000	0.027
8.6250	0.027
8.6500	0.027
8.6750	0.027
8.7000	0.027
8.7250	0.027
8.7500	0.027
8.7750	0.027
8.8000	0.027
8.8250	0.027
8.8500	0.027
8.8750	0.027
8.9000	0.027
8.9250	0.027
8.9500	0.027
8.9750	0.027
9.0000	0.027
9.0250	0.027
9.0500	0.027
9.0750	0.027
9.1000	0.027
9.1250	0.027
9.1500	0.027
9.1750	0.027
9.2000	0.027
9.2250	0.027
9.2500	0.027
9.2750	0.027
9.3000	0.027
9.3250	0.027
9.3500	0.027
9.3750	0.027
9.4000	0.027
9.4250	0.027
9.4500	0.027
9.4750	0.027
