0.154	24.5	34.5	-39	-10	-0.05128205128	-0.2	1.344827586	0.2127432668
0.178	26	33	-31.5	-7	-0.06349206349	-0.2857142857	1.285714286	0.2994914645
0.134	26.5	33	-33.5	-6.5	-0.05970149254	-0.3076923077	1.240740741	0.3190659691
0.158	25.5	34	-35	-8.5	-0.05714285714	-0.2352941176	1.320754717	0.2487849152
0.143	25	34.5	-37.5	-9.5	-0.05333333333	-0.2105263158	1.339285714	0.2236296459
0.129	25.5	34	-33.5	-8.5	-0.05970149254	-0.2352941176	1.34	0.2499837159
0.167	24	35	-40.5	-11	-0.04938271605	-0.1818181818	1.372881356	0.1947694959
0.15	25	34.5	-39.5	-9.5	-0.05063291139	-0.2105263158	1.316666667	0.2223706659
0.131	25.5	34	-33.5	-8.5	-0.05970149254	-0.2352941176	1.34	0.2499837159
0.426	26	33.5	-35.5	-7.5	-0.05633802817	-0.2666666667	1.267857143	0.2783146743
0.18	26	33.5	-32.5	-7.5	-0.06153846154	-0.2666666667	1.3	0.2805086017
0.274	27.5	32	-21.5	-4.5	-0.09302325581	-0.4444444444	1.264705882	0.4635056811
0.354	26	33.5	-33.5	-7.5	-0.05970149254	-0.2666666667	1.288461538	0.2797135097
0.143	26	33.5	-29.5	-7.5	-0.06779661017	-0.2666666667	1.340909091	0.2833793779
0.185	27	32.5	-22.5	-5.5	-0.08888888889	-0.3636363636	1.323529412	0.3847517045
0.109	27	32.5	-21.5	-5.5	-0.09302325581	-0.3636363636	1.34375	0.3867015092
0.095	27.5	33	-24.5	-5.5	-0.08163265306	-0.3636363636	1.289473684	0.3815221947
0.097	25.5	34	-34.5	-8.5	-0.05797101449	-0.2352941176	1.326923077	0.2491678126
0.153	29	30.5	-9.5	-1.5	-0.2105263158	-1.333333333	1.1875	1.366169988
0.407	25.5	34	-39.5	-8.5	-0.05063291139	-0.2352941176	1.274193548	0.2459485825

